video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
1uWvLp_jofs,https://www.youtube.com/watch?v=1uWvLp_jofs,How to Color Your Candles And Wax Melts (Best Advice For Newbies) - Candle Making For Beginners,150.0,storyboard,4,31.58,39.47,7.89,https://youtu.be/1uWvLp_jofs?t=32s,add_dye_color,process,1,0.4,Host demonstrates candle dye blocks/colour samples; a red candle.,yy SS,0,0.0,0.04,0.358,0.452,0.11,"#3d3532,#cec3bd,#a2565f",1,,
6N1oH8pkD5Q,https://www.youtube.com/watch?v=6N1oH8pkD5Q,Make YOUR OWN Layered Gradient Soy Wax Candle!,243.0,storyboard,8,64.8,72.9,8.1,https://youtu.be/6N1oH8pkD5Q?t=65s,add_dye_color,process,1,0.5,Host adds red dye from a bottle to tint the wax.,"mai oh AROMATICS FRAGB ass ur INTERNAT ww lif Wink Li, ba 9 8 mee eps Ese ee ae:",1,0.333,0.103,0.169,0.491,0.098,"#dcd9d7,#7a6c65,#190e0d",1,,
6jN6A8RVyWw,https://www.youtube.com/watch?v=6jN6A8RVyWw,DIY - Candle making kit tutorial,117.0,storyboard,7,54.6,62.4,7.8,https://youtu.be/6jN6A8RVyWw?t=55s,add_dye_color,process,1,0.55,"Pink colourant is mixed into the wax, tinting it pink.",4 5 7 SS,1,0.0,0.029,0.153,0.49,0.161,"#9f8c76,#7d4847,#c0b5b4",1,,
6jN6A8RVyWw,https://www.youtube.com/watch?v=6jN6A8RVyWw,DIY - Candle making kit tutorial,117.0,storyboard,8,62.4,70.2,7.8,https://youtu.be/6jN6A8RVyWw?t=62s,add_dye_color,process,1,0.55,Pink molten wax stirred in the pot.,,0,0.0,0.0,0.035,0.54,0.158,"#998873,#b6aa9a,#7f3a43",1,,
7j6uypARXW4,https://www.youtube.com/watch?v=7j6uypARXW4,DIY Water candles | Making candles with WATER!?,414.0,storyboard,8,63.69,71.65,7.96,https://youtu.be/7j6uypARXW4?t=64s,add_dye_color,process,1,0.45,Blue colour added to the water layer.,,0,0.0,0.009,0.189,0.43,0.071,"#414947,#7a8182,#bdc7c7",1,,
8V_WyGLS5Zo,https://www.youtube.com/watch?v=8V_WyGLS5Zo,Candle Making Tutorial for Beginners | DIY Candle Tutorial,375.0,storyboard,12,95.74,103.72,7.98,https://youtu.be/8V_WyGLS5Zo?t=96s,add_dye_color,process,1,0.55,Red dye added to the wax pot.,aig ts 4 ey 7 se Pu wy 36 eS,1,0.0,0.099,0.0,0.279,0.134,"#221f1b,#5e6159,#bfb085",0,text_overlay,
8V_WyGLS5Zo,https://www.youtube.com/watch?v=8V_WyGLS5Zo,Candle Making Tutorial for Beginners | DIY Candle Tutorial,375.0,storyboard,13,103.72,111.7,7.98,https://youtu.be/8V_WyGLS5Zo?t=104s,add_dye_color,process,1,0.55,Red wax mixed in the pitcher.,re Fs pm 2 af oe 6 83 am,1,0.0,0.114,0.062,0.297,0.168,"#272319,#596e67,#c9ba8f",1,,
999EQfNvuds,https://www.youtube.com/watch?v=999EQfNvuds,DIY Matcha Candle | Viral Iced Drinks Candle | Realistic Candle | Candle Making Tutorial,649.0,storyboard,49,392.6,400.62,8.02,https://youtu.be/999EQfNvuds?t=393s,add_dye_color,process,1,0.45,Green matcha wax added on top of the milk layer.,,0,0.0,0.014,0.0,0.82,0.041,"#f1f0ec,#c7c3bc,#7d7d7c",1,,
999EQfNvuds,https://www.youtube.com/watch?v=999EQfNvuds,DIY Matcha Candle | Viral Iced Drinks Candle | Realistic Candle | Candle Making Tutorial,649.0,storyboard,52,416.64,424.65,8.01,https://youtu.be/999EQfNvuds?t=417s,add_dye_color,process,1,0.45,Green matcha wax added on top of the milk layer.,,0,0.0,0.001,0.0,0.814,0.06,"#f3f2ea,#cac5b6,#81827b",1,,
999EQfNvuds,https://www.youtube.com/watch?v=999EQfNvuds,DIY Matcha Candle | Viral Iced Drinks Candle | Realistic Candle | Candle Making Tutorial,649.0,storyboard,55,440.68,448.69,8.01,https://youtu.be/999EQfNvuds?t=441s,add_dye_color,process,1,0.45,Green matcha wax added on top of the milk layer.,,0,0.0,0.006,0.0,0.803,0.144,"#f1f0e8,#cac1ac,#897f70",1,,
999EQfNvuds,https://www.youtube.com/watch?v=999EQfNvuds,DIY Matcha Candle | Viral Iced Drinks Candle | Realistic Candle | Candle Making Tutorial,649.0,storyboard,58,464.72,472.73,8.01,https://youtu.be/999EQfNvuds?t=465s,add_dye_color,process,1,0.45,Green matcha wax added on top of the milk layer.,,0,0.0,0.001,0.0,0.795,0.159,"#ede9de,#baac90,#655a53",1,,
999EQfNvuds,https://www.youtube.com/watch?v=999EQfNvuds,DIY Matcha Candle | Viral Iced Drinks Candle | Realistic Candle | Candle Making Tutorial,649.0,storyboard,61,488.75,496.77,8.02,https://youtu.be/999EQfNvuds?t=489s,add_dye_color,process,1,0.45,Green matcha wax added on top of the milk layer.,,0,0.0,0.007,0.0,0.814,0.056,"#f1f0e8,#c8c3b5,#7e7e79",1,,
999EQfNvuds,https://www.youtube.com/watch?v=999EQfNvuds,DIY Matcha Candle | Viral Iced Drinks Candle | Realistic Candle | Candle Making Tutorial,649.0,storyboard,64,512.79,520.8,8.01,https://youtu.be/999EQfNvuds?t=513s,add_dye_color,process,1,0.45,Green matcha wax added on top of the milk layer.,ig die 4 eo ys,1,0.0,0.027,0.0,0.814,0.049,"#f1f1eb,#c3bfb6,#818281",1,,
999EQfNvuds,https://www.youtube.com/watch?v=999EQfNvuds,DIY Matcha Candle | Viral Iced Drinks Candle | Realistic Candle | Candle Making Tutorial,649.0,storyboard,67,536.83,544.84,8.01,https://youtu.be/999EQfNvuds?t=537s,add_dye_color,process,1,0.45,Green matcha wax added on top of the milk layer.,oO,0,0.0,0.027,0.0,0.803,0.068,"#f2f1ea,#c7c5b9,#868583",1,,
999EQfNvuds,https://www.youtube.com/watch?v=999EQfNvuds,DIY Matcha Candle | Viral Iced Drinks Candle | Realistic Candle | Candle Making Tutorial,649.0,storyboard,70,560.86,568.88,8.02,https://youtu.be/999EQfNvuds?t=561s,add_dye_color,process,1,0.45,Green matcha wax added on top of the milk layer.,,0,0.0,0.02,0.0,0.814,0.077,"#f3f1e9,#c8c3b1,#918e85",1,,
9ziN3qqHkc4,https://www.youtube.com/watch?v=9ziN3qqHkc4,How to Make a Soy Candle With 3 Layers - Multi Layer Fourth of July Candle,472.0,storyboard,24,192.0,200.0,8.0,https://youtu.be/9ziN3qqHkc4?t=192s,add_dye_color,process,1,0.5,Red dye stirred into a pitcher of wax.,2,0,0.0,0.138,0.0,0.632,0.081,"#e0dacf,#424349,#a1988d",1,,
9ziN3qqHkc4,https://www.youtube.com/watch?v=9ziN3qqHkc4,How to Make a Soy Candle With 3 Layers - Multi Layer Fourth of July Candle,472.0,storyboard,47,376.0,384.0,8.0,https://youtu.be/9ziN3qqHkc4?t=376s,add_dye_color,process,1,0.5,Dark dye poured into the pitcher.,Ba oe er,1,0.0,0.109,0.0,0.689,0.091,"#eae1d7,#b0a296,#363436",1,,
BbGnbTIz7_s,https://www.youtube.com/watch?v=BbGnbTIz7_s,Ombre 5 layers gradient candle tutorial | Step by step | Advanced candle making | POV (no talking),505.0,storyboard,14,112.22,120.24,8.02,https://youtu.be/BbGnbTIz7_s?t=112s,add_dye_color,process,1,0.5,A dye chip added to the melted wax in the pitcher.,sColour on my piate,1,0.0,0.073,0.175,0.685,0.145,"#d9d9d5,#b1a89a,#755c3f",1,,
BbGnbTIz7_s,https://www.youtube.com/watch?v=BbGnbTIz7_s,Ombre 5 layers gradient candle tutorial | Step by step | Advanced candle making | POV (no talking),505.0,storyboard,15,120.24,128.25,8.01,https://youtu.be/BbGnbTIz7_s?t=120s,add_dye_color,process,1,0.5,Making a gauge/start colour in the pitcher.,,0,0.0,0.003,0.0,0.595,0.136,"#c0c0b6,#5c422e,#927b5b",1,,
BbGnbTIz7_s,https://www.youtube.com/watch?v=BbGnbTIz7_s,Ombre 5 layers gradient candle tutorial | Step by step | Advanced candle making | POV (no talking),505.0,storyboard,16,128.25,136.27,8.02,https://youtu.be/BbGnbTIz7_s?t=128s,add_dye_color,process,1,0.5,Testing a colour drop on a plate.,,0,0.0,0.038,0.085,0.599,0.136,"#d4d2ca,#5a3229,#a39889",1,,
BbGnbTIz7_s,https://www.youtube.com/watch?v=BbGnbTIz7_s,Ombre 5 layers gradient candle tutorial | Step by step | Advanced candle making | POV (no talking),505.0,storyboard,17,136.27,144.29,8.02,https://youtu.be/BbGnbTIz7_s?t=136s,add_dye_color,process,1,0.5,Adding a small dye chip with a spoon.,1 Try 4 iJ 9 4,1,0.0,0.034,0.123,0.622,0.127,"#d1d0c8,#5f372e,#a3978a",1,,
BbGnbTIz7_s,https://www.youtube.com/watch?v=BbGnbTIz7_s,Ombre 5 layers gradient candle tutorial | Step by step | Advanced candle making | POV (no talking),505.0,storyboard,18,144.29,152.3,8.01,https://youtu.be/BbGnbTIz7_s?t=144s,add_dye_color,process,1,0.5,Testing the colour.,yy,0,0.0,0.017,0.119,0.618,0.141,"#baa389,#d5d2c9,#522925",1,,
BbGnbTIz7_s,https://www.youtube.com/watch?v=BbGnbTIz7_s,Ombre 5 layers gradient candle tutorial | Step by step | Advanced candle making | POV (no talking),505.0,storyboard,19,152.3,160.32,8.02,https://youtu.be/BbGnbTIz7_s?t=152s,add_dye_color,process,1,0.5,Spoon colour test.,,0,0.0,0.031,0.0,0.61,0.133,"#d5d1c7,#b5a389,#5f362d",1,,
BbGnbTIz7_s,https://www.youtube.com/watch?v=BbGnbTIz7_s,Ombre 5 layers gradient candle tutorial | Step by step | Advanced candle making | POV (no talking),505.0,storyboard,32,256.51,264.52,8.01,https://youtu.be/BbGnbTIz7_s?t=257s,add_dye_color,process,1,0.5,Adding more chips to the pitcher.,14 1 ae ae Add alittle more.chips to tie meltied wa fe orepare ihe tna ayel,1,0.0,0.054,0.173,0.65,0.095,"#b0b9b9,#d8dcde,#6a5d5b",1,,
BbGnbTIz7_s,https://www.youtube.com/watch?v=BbGnbTIz7_s,Ombre 5 layers gradient candle tutorial | Step by step | Advanced candle making | POV (no talking),505.0,storyboard,33,264.52,272.54,8.02,https://youtu.be/BbGnbTIz7_s?t=265s,add_dye_color,process,1,0.5,Breaking a dye chip into pieces.,SS ya 2 lam breaking the big chip into small pieces,1,0.0,0.067,0.0,0.631,0.102,"#b9cacc,#9a8b88,#574847",0,text_overlay,
BbGnbTIz7_s,https://www.youtube.com/watch?v=BbGnbTIz7_s,Ombre 5 layers gradient candle tutorial | Step by step | Advanced candle making | POV (no talking),505.0,storyboard,34,272.54,280.56,8.02,https://youtu.be/BbGnbTIz7_s?t=273s,add_dye_color,process,1,0.5,Darker wax in the pitcher.,4,0,0.0,0.033,0.061,0.624,0.099,"#b7c7c9,#8f9090,#3f2d2e",1,,
BbGnbTIz7_s,https://www.youtube.com/watch?v=BbGnbTIz7_s,Ombre 5 layers gradient candle tutorial | Step by step | Advanced candle making | POV (no talking),505.0,storyboard,35,280.56,288.57,8.01,https://youtu.be/BbGnbTIz7_s?t=281s,add_dye_color,process,1,0.5,Testing the dye drop.,wy,0,0.0,0.024,0.098,0.595,0.103,"#b6c3c4,#8b8280,#473c3e",1,,
BskHsZWNhRw,https://www.youtube.com/watch?v=BskHsZWNhRw,DIY WATER CANDLES // Easy DIY CANDLES AT HOME,300.0,storyboard,5,39.47,47.37,7.9,https://youtu.be/BskHsZWNhRw?t=39s,add_dye_color,process,1,0.4,Pink colour worked into the gel.,Ss Fg ff aed 4 rh 332 7 ee es we an ine 4 es be at,1,0.0,0.024,0.056,0.666,0.088,"#d9ced9,#908c8b,#62584d",1,,
BskHsZWNhRw,https://www.youtube.com/watch?v=BskHsZWNhRw,DIY WATER CANDLES // Easy DIY CANDLES AT HOME,300.0,storyboard,16,126.32,134.21,7.89,https://youtu.be/BskHsZWNhRw?t=126s,add_dye_color,process,1,0.4,Deeper pink/red colour added.,rR Fr 4 iy Br Rey ee,1,0.333,0.035,0.083,0.671,0.13,"#d8ccd6,#9f7867,#48352c",1,,
CrJ9UE6Nihw,https://www.youtube.com/watch?v=CrJ9UE6Nihw,FULL & easy beginners guide to Candle Making,601.0,storyboard,9,72.12,80.13,8.01,https://youtu.be/CrJ9UE6Nihw?t=72s,add_dye_color,process,1,0.45,Handling red dye chunks.,,0,0.0,0.005,0.041,0.494,0.058,"#a1a0a3,#7d7877,#5d504b",1,,
CrJ9UE6Nihw,https://www.youtube.com/watch?v=CrJ9UE6Nihw,FULL & easy beginners guide to Candle Making,601.0,storyboard,54,432.72,440.73,8.01,https://youtu.be/CrJ9UE6Nihw?t=433s,add_dye_color,process,1,0.45,Testing the green colour; pour.,bg Lol 4. ah bed Pt! 7 pee Ve,1,0.0,0.032,0.0,0.482,0.101,"#807b70,#554e3b,#acadb0",0,text_overlay,
DIdrbQREtns,https://www.youtube.com/watch?v=DIdrbQREtns,Beginners Guide to Make Soy Wax Pillar Candles  Tips and Tricks,694.0,storyboard,61,486.6,494.57,7.97,https://youtu.be/DIdrbQREtns?t=487s,add_dye_color,process,1,0.5,Adding burgundy dye to the wax.,WN 2 uP,0,0.0,0.05,0.068,0.579,0.115,"#bcbaba,#4d432b,#9b8980",1,,
DIdrbQREtns,https://www.youtube.com/watch?v=DIdrbQREtns,Beginners Guide to Make Soy Wax Pillar Candles  Tips and Tricks,694.0,storyboard,62,494.57,502.55,7.98,https://youtu.be/DIdrbQREtns?t=495s,add_dye_color,process,1,0.5,Adding burgundy dye to the wax.,,0,0.0,0.067,0.022,0.588,0.088,"#bebcbc,#9f9188,#3c3528",1,,
DIdrbQREtns,https://www.youtube.com/watch?v=DIdrbQREtns,Beginners Guide to Make Soy Wax Pillar Candles  Tips and Tricks,694.0,storyboard,65,518.51,526.48,7.97,https://youtu.be/DIdrbQREtns?t=519s,add_dye_color,process,1,0.5,Adding burgundy dye to the wax.,FY,0,0.0,0.139,0.098,0.432,0.108,"#2b2b2d,#988a7b,#e1d4c5",1,,
DpF1-sb6Adk,https://www.youtube.com/watch?v=DpF1-sb6Adk,How to Color Soy Candles Using Candle Dye - 3 Ways to DIY Candle Dye,349.0,storyboard,17,134.84,142.77,7.93,https://youtu.be/DpF1-sb6Adk?t=135s,add_dye_color,process,1,0.45,Overhead: pouring/mixing dye into the wax (green/red).,ia Se iz. Qs,1,0.0,0.115,0.223,0.596,0.067,"#9a8e7d,#c5bcb9,#524535",1,,
DpF1-sb6Adk,https://www.youtube.com/watch?v=DpF1-sb6Adk,How to Color Soy Candles Using Candle Dye - 3 Ways to DIY Candle Dye,349.0,storyboard,18,142.77,150.7,7.93,https://youtu.be/DpF1-sb6Adk?t=143s,add_dye_color,process,1,0.45,Overhead: pouring/mixing dye into the wax (green/red).,9,0,0.0,0.121,0.0,0.524,0.085,"#9a8d7f,#4d3c32,#c2bbb6",1,,
DpF1-sb6Adk,https://www.youtube.com/watch?v=DpF1-sb6Adk,How to Color Soy Candles Using Candle Dye - 3 Ways to DIY Candle Dye,349.0,storyboard,19,150.7,158.64,7.94,https://youtu.be/DpF1-sb6Adk?t=151s,add_dye_color,process,1,0.5,ProCandleSupply host talks to camera about colouring soy candles.,Ve. 2 7,0,0.0,0.076,0.013,0.644,0.05,"#c4c3c4,#988f8c,#433b3d",1,,
DpF1-sb6Adk,https://www.youtube.com/watch?v=DpF1-sb6Adk,How to Color Soy Candles Using Candle Dye - 3 Ways to DIY Candle Dye,349.0,storyboard,20,158.64,166.57,7.93,https://youtu.be/DpF1-sb6Adk?t=159s,add_dye_color,process,1,0.45,Overhead: pouring/mixing dye into the wax (green/red).,ce ey,0,0.0,0.105,0.216,0.586,0.059,"#95897b,#bbb4ad,#504437",1,,
FhVukBUHls0,https://www.youtube.com/watch?v=FhVukBUHls0,"Candle Making Kit with Electronic Hot Plate for Beginners, Adults, and Kids",110.0,storyboard,7,55.0,62.86,7.86,https://youtu.be/FhVukBUHls0?t=55s,add_dye_color,process,1,0.5,Green colour is introduced — a metal pitcher of wax turns green.,ne Rye Cy Sy 4,1,0.333,0.143,0.128,0.521,0.146,"#9c867f,#cfc0bb,#473c38",1,,
