video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,23,182.56,190.5,7.94,https://youtu.be/1V3hfxo7OtE?t=183s,add_fragrance,process,1,0.45,overhead adding scent,,0,0.0,0.017,0.0,0.523,0.182,"#b28862,#6c5340,#b0b9c6",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,24,190.5,198.44,7.94,https://youtu.be/1V3hfxo7OtE?t=190s,add_fragrance,process,1,0.45,overhead bench work,,0,0.0,0.013,0.085,0.524,0.186,"#b68a63,#604f47,#b0b8c6",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,25,198.44,206.38,7.94,https://youtu.be/1V3hfxo7OtE?t=198s,add_fragrance,process,1,0.45,overhead adding scent,ak 7. Whe,1,0.0,0.027,0.06,0.516,0.191,"#ac835e,#493d3e,#b0b5c5",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,26,206.38,214.31,7.93,https://youtu.be/1V3hfxo7OtE?t=206s,add_fragrance,process,1,0.5,overhead hands with bottle,,0,0.0,0.015,0.016,0.522,0.197,"#b58861,#5b4944,#b9b4bc",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,27,214.31,222.25,7.94,https://youtu.be/1V3hfxo7OtE?t=214s,add_fragrance,process,1,0.45,overhead bench work,he 4 Co.,1,0.0,0.031,0.0,0.522,0.201,"#b38761,#473f43,#bdb8ba",1,,
2nxGLwe1Znk,https://www.youtube.com/watch?v=2nxGLwe1Znk,DIY Mason Jar Candles | How to Make Mason Jar Candles,147.0,storyboard,8,65.33,73.5,8.17,https://youtu.be/2nxGLwe1Znk?t=65s,add_fragrance,process,1,0.55,Pouring essential oil into the wax ('.5 oz essential oil').,,0,0.0,0.056,0.082,0.747,0.141,"#e7eae6,#a59d90,#43321d",1,,description references on-screen text but OCR found none
2nxGLwe1Znk,https://www.youtube.com/watch?v=2nxGLwe1Znk,DIY Mason Jar Candles | How to Make Mason Jar Candles,147.0,storyboard,9,73.5,81.67,8.17,https://youtu.be/2nxGLwe1Znk?t=74s,add_fragrance,process,1,0.5,Stirring fragrance into the wax.,,0,0.0,0.045,0.138,0.837,0.092,"#f3f2ee,#dfddd8,#cfada1",1,,
5SulILZNPEI,https://www.youtube.com/watch?v=5SulILZNPEI,How To Make Soy Candles DIY Candle Making Tutorial,453.0,storyboard,19,151.0,158.95,7.95,https://youtu.be/5SulILZNPEI?t=151s,add_fragrance,process,1,0.45,adding/stirring into melter,pst ge,0,0.0,0.051,0.029,0.382,0.12,"#615d5e,#342d31,#c6af8b",1,,
6jN6A8RVyWw,https://www.youtube.com/watch?v=6jN6A8RVyWw,DIY - Candle making kit tutorial,117.0,storyboard,6,46.8,54.6,7.8,https://youtu.be/6jN6A8RVyWw?t=47s,add_fragrance,process,1,0.45,Stirring continues; an additive (fragrance) is worked into the wax.,ee,0,0.0,0.07,0.165,0.417,0.17,"#c4b1a8,#82525b,#31292f",1,,
B2AFuHYg_Io,https://www.youtube.com/watch?v=B2AFuHYg_Io,Coconut Soy wax candle making for beginners,507.0,storyboard,13,104.62,112.67,8.05,https://youtu.be/B2AFuHYg_Io?t=105s,add_fragrance,process,1,0.45,Fragrance bottles by the black melting pot.,,0,0.0,0.019,0.277,0.415,0.058,"#78797e,#1e1518,#aab0b7",1,,
B2AFuHYg_Io,https://www.youtube.com/watch?v=B2AFuHYg_Io,Coconut Soy wax candle making for beginners,507.0,storyboard,21,169.0,177.05,8.05,https://youtu.be/B2AFuHYg_Io?t=169s,add_fragrance,process,1,0.5,Stirring fragrance into the wax; phone.,7,0,0.0,0.04,0.117,0.413,0.051,"#121014,#daced5,#978389",1,,
G42ivbBdIHY,https://www.youtube.com/watch?v=G42ivbBdIHY,Essential Oil Candles DIY For Beginners | Step By Step Candle Making Tutorial,693.0,storyboard,60,477.93,485.9,7.97,https://youtu.be/G42ivbBdIHY?t=478s,add_fragrance,process,1,0.45,Adding essential oils to the melted wax.,as 2 ag: SSD aes,1,0.0,0.122,0.075,0.643,0.064,"#c2c4c6,#949290,#3e3938",1,,
GAh9lQmaEvI,https://www.youtube.com/watch?v=GAh9lQmaEvI,How to make scented candles at home step by step,135.0,storyboard,9,71.47,79.41,7.94,https://youtu.be/GAh9lQmaEvI?t=71s,add_fragrance,process,1,0.4,hands working in bowl,,0,0.0,0.012,0.138,0.678,0.048,"#c1c1c2,#bfc3be,#aaafb3",1,,
GAh9lQmaEvI,https://www.youtube.com/watch?v=GAh9lQmaEvI,How to make scented candles at home step by step,135.0,storyboard,10,79.41,87.35,7.94,https://youtu.be/GAh9lQmaEvI?t=79s,add_fragrance,process,1,0.6,dropper adding essential oils,,0,0.0,0.05,0.213,0.776,0.091,"#c1c1c2,#3b4caf,#567bcb",1,,
GAh9lQmaEvI,https://www.youtube.com/watch?v=GAh9lQmaEvI,How to make scented candles at home step by step,135.0,storyboard,11,87.35,95.29,7.94,https://youtu.be/GAh9lQmaEvI?t=87s,add_fragrance,process,1,0.5,"green wax, dropper, thermometer",wi ASA we Por it 7 ih 7 7 7 oe al im os 2 ie 3 2 -Placea tra ee,1,0.0,0.056,0.209,0.697,0.078,"#9a9e62,#bfcabf,#516027",1,,
HPD1k0lhDCU,https://www.youtube.com/watch?v=HPD1k0lhDCU,How to Make Luxury Coconut Apricot Wax Candles | Step-by-Step Tutorial,687.0,storyboard,30,239.65,247.64,7.99,https://youtu.be/HPD1k0lhDCU?t=240s,add_fragrance,process,1,0.45,Adding fragrance/dye into the melted wax.,DA's: 2 rn yA ee ies is EH Ae os Bor ise 2. 2,1,0.0,0.198,0.031,0.424,0.126,"#aea998,#2a1c11,#746043",1,,
HPD1k0lhDCU,https://www.youtube.com/watch?v=HPD1k0lhDCU,How to Make Luxury Coconut Apricot Wax Candles | Step-by-Step Tutorial,687.0,storyboard,34,271.6,279.59,7.99,https://youtu.be/HPD1k0lhDCU?t=272s,add_fragrance,process,1,0.45,Adding fragrance/dye into the melted wax.,oh,0,0.0,0.025,0.145,0.672,0.094,"#cdd1ce,#897978,#3e2f1f",1,,
HPD1k0lhDCU,https://www.youtube.com/watch?v=HPD1k0lhDCU,How to Make Luxury Coconut Apricot Wax Candles | Step-by-Step Tutorial,687.0,storyboard,38,303.56,311.55,7.99,https://youtu.be/HPD1k0lhDCU?t=304s,add_fragrance,process,1,0.45,Adding fragrance/dye into the melted wax.,,0,0.0,0.016,0.0,0.679,0.151,"#d0d4cf,#996981,#48392c",1,,
HPD1k0lhDCU,https://www.youtube.com/watch?v=HPD1k0lhDCU,How to Make Luxury Coconut Apricot Wax Candles | Step-by-Step Tutorial,687.0,storyboard,42,335.51,343.5,7.99,https://youtu.be/HPD1k0lhDCU?t=336s,add_fragrance,process,1,0.45,Adding fragrance/dye into the melted wax.,sh. all,0,0.0,0.013,0.226,0.43,0.226,"#834c62,#c6b8a8,#3a3338",1,,
HPD1k0lhDCU,https://www.youtube.com/watch?v=HPD1k0lhDCU,How to Make Luxury Coconut Apricot Wax Candles | Step-by-Step Tutorial,687.0,storyboard,46,367.47,375.45,7.98,https://youtu.be/HPD1k0lhDCU?t=367s,add_fragrance,process,1,0.45,Adding fragrance/dye into the melted wax.,Seats ee 7 5 an,1,0.0,0.043,0.114,0.461,0.144,"#b2ac9e,#6b656d,#34302f",1,,
Hir66vEC2MI,https://www.youtube.com/watch?v=Hir66vEC2MI,Learn How to Make Scented Soy Wax Candles for Beginners | CandleScience Guides,323.0,storyboard,24,193.8,201.87,8.07,https://youtu.be/Hir66vEC2MI?t=194s,add_fragrance,process,1,0.45,fragrance bottles next to tin,eee,0,0.0,0.074,0.204,0.575,0.096,"#998275,#6e6355,#bfbeb6",1,,
Hir66vEC2MI,https://www.youtube.com/watch?v=Hir66vEC2MI,Learn How to Make Scented Soy Wax Candles for Beginners | CandleScience Guides,323.0,storyboard,27,218.02,226.1,8.08,https://youtu.be/Hir66vEC2MI?t=218s,add_fragrance,process,1,0.4,stirring yellow liquid in tin,Peeks aby.,1,0.0,0.052,0.0,0.569,0.126,"#96867a,#cdc5bb,#614f29",1,,
Ktz5Q9udtXY,https://www.youtube.com/watch?v=Ktz5Q9udtXY,How to Make Essential Oil Candles | DIY Candle Making Tutorial,316.0,storyboard,13,102.7,110.6,7.9,https://youtu.be/Ktz5Q9udtXY?t=103s,add_fragrance,process,1,0.55,Essential oil poured into the wax pot.,,0,0.0,0.184,0.224,0.462,0.128,"#6d644c,#beb7ad,#1b1a11",1,,
Ktz5Q9udtXY,https://www.youtube.com/watch?v=Ktz5Q9udtXY,How to Make Essential Oil Candles | DIY Candle Making Tutorial,316.0,storyboard,14,110.6,118.5,7.9,https://youtu.be/Ktz5Q9udtXY?t=111s,add_fragrance,process,1,0.55,Stirring the fragrance into the amber wax.,,0,0.0,0.084,0.165,0.481,0.081,"#897f75,#484237,#e5e1db",1,,
LiLrIjz_2ac,https://www.youtube.com/watch?v=LiLrIjz_2ac,Beginners Guide - How to Make a Scented Candle at Home,211.0,storyboard,12,97.38,105.5,8.12,https://youtu.be/LiLrIjz_2ac?t=97s,add_fragrance,process,1,0.6,A black fragrance bottle is held over the pot to add scent.,he aw aie,1,0.0,0.039,0.077,0.556,0.046,"#86837d,#cecdcd,#36322e",1,,
