video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
-dVj7BYicmQ,https://www.youtube.com/watch?v=-dVj7BYicmQ,Create your own custom-scented candle at The Candle Pour | Taste and See Tampa Bay,99.0,storyboard,0,0.0,8.25,8.25,https://youtu.be/-dVj7BYicmQ?t=0s,reveal_result,finish,1,0.4,Lit candle; caption 'Make custom-scented candle at The Candle Pour in Hyde Park'.,"Lit candle; caption 'Make custom-scented candle at The Candle Pour in Hyde Park'. captioned, moderate on-screen movement, well-lit, muted beige/brown palette (#bba58c, #71564a). finish phase, ~0% in, 0:00–0:08.",yee ba it 1 PRBS SISCe ESOS In ie be PAR,1,0.0,0.237,0.224,0.427,0.149,"#bba58c,#71564a,#321a13",1,,
-dVj7BYicmQ,https://www.youtube.com/watch?v=-dVj7BYicmQ,Create your own custom-scented candle at The Candle Pour | Taste and See Tampa Bay,99.0,storyboard,10,82.5,90.75,8.25,https://youtu.be/-dVj7BYicmQ?t=82s,reveal_result,finish,1,0.45,Caption 'Candles last about 60 burn hours'; lit candle.,"Caption 'Candles last about 60 burn hours'; lit candle. captioned, moderate on-screen movement, well-lit, muted black/brown palette (#2e1f18, #716651). finish phase, ~83% in, 1:22–1:30.",oa SC OEISTER RE,1,0.0,0.202,0.304,0.493,0.106,"#2e1f18,#716651,#dacebb",1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,57,456.95,464.97,8.02,https://youtu.be/-pjWKo7zgrs?t=457s,reveal_result,finish,1,0.5,Finished sage & rose jesmonite candles shown.,"Finished sage & rose jesmonite candles shown. moderate on-screen movement, well-lit, muted beige/brown palette (#d0c8c2, #4c2f29). finish phase, ~95% in, 7:36–7:44.",2 tam,0,0.0,0.025,0.207,0.543,0.114,"#d0c8c2,#4c2f29,#907265",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,72,577.45,585.47,8.02,https://youtu.be/0gk3NsmJa7k?t=577s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,"Rows of finished botanical winter candles / labelled beauty shots. moderate on-screen movement, well-lit, muted brown/beige palette (#4f4440, #ccb9a4). finish phase, ~73% in, 9:37–9:45.",be,0,0.0,0.265,0.225,0.524,0.069,"#4f4440,#ccb9a4,#8f8377",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,74,593.49,601.52,8.03,https://youtu.be/0gk3NsmJa7k?t=593s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,"Rows of finished botanical winter candles / labelled beauty shots. captioned, moderate on-screen movement, well-lit, muted beige/grey palette (#c3b3a1, #7e6b5a). finish phase, ~75% in, 9:53–10:01.",ap Se oe 8 es Ss ao 3 oa,1,0.0,0.157,0.211,0.509,0.083,"#c3b3a1,#7e6b5a,#3f3127",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,75,601.52,609.54,8.02,https://youtu.be/0gk3NsmJa7k?t=602s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,"Rows of finished botanical winter candles / labelled beauty shots. captioned, static shot, well-lit, muted grey/beige palette (#7b695c, #cab7a0). finish phase, ~76% in, 10:01–10:09.","oS Sg, FG yr 4 2 ee tn",1,0.0,0.199,0.0,0.476,0.094,"#7b695c,#cab7a0,#3e2f2a",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,76,609.54,617.56,8.02,https://youtu.be/0gk3NsmJa7k?t=610s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,"Rows of finished botanical winter candles / labelled beauty shots. captioned, moderate on-screen movement, well-lit, muted beige/grey palette (#c2b2a4, #7e706b). finish phase, ~77% in, 10:09–10:17.",5 ee tee,1,0.0,0.249,0.249,0.498,0.078,"#c2b2a4,#7e706b,#3e3433",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,77,617.56,625.58,8.02,https://youtu.be/0gk3NsmJa7k?t=618s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,"Rows of finished botanical winter candles / labelled beauty shots. moderate on-screen movement, well-lit, muted brown/grey palette (#584538, #98806d). finish phase, ~78% in, 10:17–10:25.",hk as,0,0.0,0.201,0.234,0.516,0.09,"#584538,#98806d,#ccbcb0",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,78,625.58,633.6,8.02,https://youtu.be/0gk3NsmJa7k?t=626s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,"Rows of finished botanical winter candles / labelled beauty shots. moderate on-screen movement, well-lit, muted beige/grey palette (#c7b9ab, #766f68). finish phase, ~79% in, 10:25–10:33.",26 eo,0,0.0,0.204,0.217,0.526,0.061,"#c7b9ab,#766f68,#342f2c",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,79,633.6,641.62,8.02,https://youtu.be/0gk3NsmJa7k?t=634s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,"Rows of finished botanical winter candles / labelled beauty shots. static shot, well-lit, muted grey/beige palette (#7d6d6a, #bbaba4). finish phase, ~80% in, 10:33–10:41.",22 Ba,0,0.0,0.464,0.0,0.467,0.051,"#7d6d6a,#bbaba4,#3c312b",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,80,641.62,649.64,8.02,https://youtu.be/0gk3NsmJa7k?t=642s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,"Rows of finished botanical winter candles / labelled beauty shots. captioned, moderate on-screen movement, well-lit, muted brown/grey palette (#4c3b33, #8f786d). finish phase, ~81% in, 10:41–10:49.",8 eee FP 5 4 aE Aa,1,0.0,0.246,0.226,0.45,0.099,"#4c3b33,#8f786d,#d5b5a0",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,81,649.64,657.66,8.02,https://youtu.be/0gk3NsmJa7k?t=650s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,"Rows of finished botanical winter candles / labelled beauty shots. captioned, moderate on-screen movement, well-lit, muted grey/beige palette (#857267, #af9a8d). finish phase, ~82% in, 10:49–10:57.",al 2 Pd 4 af bE tS ee. 7 Pe 2 ay we aaa mm. 2 My,1,0.0,0.244,0.18,0.48,0.084,"#857267,#af9a8d,#56463d",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,82,657.66,665.68,8.02,https://youtu.be/0gk3NsmJa7k?t=658s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,"Rows of finished botanical winter candles / labelled beauty shots. moderate on-screen movement, well-lit, muted grey/beige palette (#79746b, #a8a196). finish phase, ~83% in, 10:57–11:05.",sa wr,0,0.0,0.459,0.199,0.475,0.071,"#79746b,#a8a196,#4d463c",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,83,665.68,673.7,8.02,https://youtu.be/0gk3NsmJa7k?t=666s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,"Rows of finished botanical winter candles / labelled beauty shots. captioned, static shot, well-lit, muted grey/brown palette (#81785a, #514233). finish phase, ~84% in, 11:05–11:13.",8 SSE aay ae,1,0.0,0.356,0.0,0.441,0.11,"#81785a,#514233,#aea58f",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,84,673.7,681.72,8.02,https://youtu.be/0gk3NsmJa7k?t=674s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,"Rows of finished botanical winter candles / labelled beauty shots. captioned, moderate on-screen movement, well-lit, muted beige/grey palette (#c1b9b7, #a09996). finish phase, ~85% in, 11:13–11:21.","PF, sy oo",1,0.0,0.151,0.195,0.555,0.109,"#c1b9b7,#a09996,#686a6f",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,86,689.74,697.76,8.02,https://youtu.be/0gk3NsmJa7k?t=690s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,"Rows of finished botanical winter candles / labelled beauty shots. moderate on-screen movement, well-lit, muted beige/grey palette (#bdb6b7, #928383). finish phase, ~87% in, 11:29–11:37.",ss be,0,0.0,0.047,0.152,0.617,0.077,"#bdb6b7,#928383,#524243",1,,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,26,207.32,215.29,7.97,https://youtu.be/0pqimQlf8tQ?t=207s,reveal_result,finish,1,0.45,Finished jar candles shown.,"Finished jar candles shown. captioned, moderate on-screen movement, well-lit, muted beige/brown palette (#cdccc0, #553f39). finish phase, ~68% in, 3:27–3:35.","ll iil Dg, if ee it ia ie",1,0.0,0.336,0.162,0.519,0.106,"#cdccc0,#553f39,#988f84",1,,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,27,215.29,223.26,7.97,https://youtu.be/0pqimQlf8tQ?t=215s,reveal_result,finish,1,0.45,Finished jar candles shown.,"Finished jar candles shown. captioned, static shot, well-lit, muted brown/beige palette (#56433e, #cbcbc2). finish phase, ~71% in, 3:35–3:43.","yy FEO Aly, LT, Oe Tie Ro 2 nak! ii ie",1,0.0,0.461,0.049,0.549,0.099,"#56433e,#cbcbc2,#999287",1,,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,28,223.26,231.24,7.98,https://youtu.be/0pqimQlf8tQ?t=223s,reveal_result,finish,1,0.45,Finished jar candles shown.,"Finished jar candles shown. captioned, static shot, well-lit, muted brown/beige palette (#553b36, #cfcabf). finish phase, ~74% in, 3:43–3:51.",tn ea Oly Dig ome Lane 11 tae fl nq Ye roere oz ie,1,0.0,0.393,0.038,0.536,0.116,"#553b36,#cfcabf,#978c81",1,,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,29,231.24,239.21,7.97,https://youtu.be/0pqimQlf8tQ?t=231s,reveal_result,finish,1,0.45,Finished jar candles shown.,"Finished jar candles shown. captioned, static shot, well-lit, muted brown/cream palette (#534039, #cecec6). finish phase, ~76% in, 3:51–3:59.",5 frye if rt ie be tip fi ih rad Rise,1,0.0,0.394,0.047,0.547,0.107,"#534039,#cecec6,#9c948b",1,,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,30,239.21,247.18,7.97,https://youtu.be/0pqimQlf8tQ?t=239s,reveal_result,finish,1,0.45,Finished jar candles shown.,"Finished jar candles shown. captioned, static shot, well-lit, muted brown/grey palette (#53403a, #9e968b). finish phase, ~79% in, 3:59–4:07.",Te Pee eet aL ae Lee gl Tl Rye,1,0.0,0.387,0.048,0.55,0.103,"#53403a,#9e968b,#d0d0c7",1,,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,31,247.18,255.16,7.98,https://youtu.be/0pqimQlf8tQ?t=247s,reveal_result,finish,1,0.45,Finished jar candles shown.,"Finished jar candles shown. captioned, lots of on-screen movement, dim, muted black palette (#000000, #040102). finish phase, ~82% in, 4:07–4:15.",Seas UL ho,1,0.0,0.204,0.547,0.274,0.055,"#000000,#040102,#080709",1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,8,63.77,71.75,7.98,https://youtu.be/0tS8V3Gj9C0?t=64s,reveal_result,finish,1,0.4,Shelves of finished candles shown.,"Shelves of finished candles shown. captioned, moderate on-screen movement, well-lit, muted grey/brown palette (#7c7a78, #403c38). finish phase, ~8% in, 1:03–1:11.",Lan ate pt eS wo by 4 on ae,1,0.0,0.119,0.254,0.474,0.087,"#7c7a78,#403c38,#c7c6bf",1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,9,71.75,79.72,7.97,https://youtu.be/0tS8V3Gj9C0?t=72s,reveal_result,finish,1,0.4,Shelves of finished candles shown.,"Shelves of finished candles shown. captioned, static shot, well-lit, muted brown/grey palette (#3f3c35, #827f79). finish phase, ~8% in, 1:11–1:19.",Slant of root fo fi,1,0.0,0.187,0.0,0.44,0.088,"#3f3c35,#827f79,#c9c9bf",1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,30,239.15,247.12,7.97,https://youtu.be/0tS8V3Gj9C0?t=239s,reveal_result,finish,1,0.5,Shelves of finished candles shown.,"Shelves of finished candles shown. captioned, steady, low-motion shot, well-lit, muted grey/beige palette (#7f7d79, #bbbab6). finish phase, ~28% in, 3:59–4:07.",SEL peer ail fs BASS Wiha,1,0.0,0.102,0.073,0.531,0.047,"#7f7d79,#bbbab6,#33302e",1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,31,247.12,255.09,7.97,https://youtu.be/0tS8V3Gj9C0?t=247s,reveal_result,finish,1,0.5,Shelves of finished candles shown.,"Shelves of finished candles shown. captioned, steady, low-motion shot, well-lit, muted grey/beige palette (#8d8b86, #bfc0bb). finish phase, ~29% in, 4:07–4:15.",PAw OR 7 ay gf 7 Pa ia: Pape nS 7 bp SS ae 4 Fy he iv Si,1,0.0,0.09,0.096,0.55,0.046,"#8d8b86,#bfc0bb,#2f302f",1,,
0vn32fue7lg,https://www.youtube.com/watch?v=0vn32fue7lg,Make candles in any vessel | Easy candle math,330.0,storyboard,24,193.17,201.22,8.05,https://youtu.be/0vn32fue7lg?t=193s,reveal_result,finish,1,0.4,Finished candle/vessel shown.,"Finished candle/vessel shown. moderate on-screen movement, well-lit, muted beige/grey palette (#c0babb, #827d73). finish phase, ~59% in, 3:13–3:21.",Pn Be,0,0.0,0.042,0.185,0.586,0.087,"#c0babb,#827d73,#4c462f",1,,
0vn32fue7lg,https://www.youtube.com/watch?v=0vn32fue7lg,Make candles in any vessel | Easy candle math,330.0,storyboard,25,201.22,209.27,8.05,https://youtu.be/0vn32fue7lg?t=201s,reveal_result,finish,1,0.4,Finished candle/vessel shown.,"Finished candle/vessel shown. steady, low-motion shot, well-lit, muted beige/grey palette (#bfb9ba, #8a857f). finish phase, ~61% in, 3:21–3:29.",2 FF,0,0.0,0.036,0.065,0.574,0.07,"#bfb9ba,#8a857f,#4e4839",1,,
0vn32fue7lg,https://www.youtube.com/watch?v=0vn32fue7lg,Make candles in any vessel | Easy candle math,330.0,storyboard,26,209.27,217.32,8.05,https://youtu.be/0vn32fue7lg?t=209s,reveal_result,finish,1,0.4,Finished candle/vessel shown.,"Finished candle/vessel shown. static shot, well-lit, muted beige/grey palette (#bbb5ba, #7e7970). finish phase, ~63% in, 3:29–3:37.",,0,0.0,0.04,0.0,0.577,0.075,"#bbb5ba,#7e7970,#4d4732",1,,
0vn32fue7lg,https://www.youtube.com/watch?v=0vn32fue7lg,Make candles in any vessel | Easy candle math,330.0,storyboard,27,217.32,225.37,8.05,https://youtu.be/0vn32fue7lg?t=217s,reveal_result,finish,1,0.4,Finished candle/vessel shown.,"Finished candle/vessel shown. steady, low-motion shot, well-lit, muted beige/grey palette (#c8c3c4, #8c8880). finish phase, ~66% in, 3:37–3:45.",ac,0,0.0,0.057,0.115,0.582,0.075,"#c8c3c4,#8c8880,#54503d",1,,
0vn32fue7lg,https://www.youtube.com/watch?v=0vn32fue7lg,Make candles in any vessel | Easy candle math,330.0,storyboard,28,225.37,233.41,8.04,https://youtu.be/0vn32fue7lg?t=225s,reveal_result,finish,1,0.4,Finished candle/vessel shown.,"Finished candle/vessel shown. steady, low-motion shot, well-lit, muted grey/beige palette (#968d86, #cdc6c2). finish phase, ~68% in, 3:45–3:53.",7 Rice,0,0.0,0.052,0.109,0.584,0.086,"#968d86,#cdc6c2,#4b4736",1,,
0vn32fue7lg,https://www.youtube.com/watch?v=0vn32fue7lg,Make candles in any vessel | Easy candle math,330.0,storyboard,29,233.41,241.46,8.05,https://youtu.be/0vn32fue7lg?t=233s,reveal_result,finish,1,0.4,Finished candle/vessel shown.,"Finished candle/vessel shown. captioned, steady, low-motion shot, well-lit, muted grey/beige palette (#987b7d, #cabbbe). finish phase, ~71% in, 3:53–4:01.",2. oe ity awes wi uoo Se es,1,0.0,0.159,0.115,0.528,0.114,"#987b7d,#cabbbe,#4e3d3b",1,,
0vn32fue7lg,https://www.youtube.com/watch?v=0vn32fue7lg,Make candles in any vessel | Easy candle math,330.0,storyboard,31,249.51,257.56,8.05,https://youtu.be/0vn32fue7lg?t=250s,reveal_result,finish,1,0.4,Finished candle/vessel shown.,"Finished candle/vessel shown. steady, low-motion shot, well-lit, muted beige/grey palette (#b9b8bb, #969598). finish phase, ~76% in, 4:09–4:17.",,0,0.0,0.01,0.055,0.641,0.034,"#b9b8bb,#969598,#685d5e",1,,
0vn32fue7lg,https://www.youtube.com/watch?v=0vn32fue7lg,Make candles in any vessel | Easy candle math,330.0,storyboard,32,257.56,265.61,8.05,https://youtu.be/0vn32fue7lg?t=258s,reveal_result,finish,1,0.4,Finished candle/vessel shown.,"Finished candle/vessel shown. static shot, well-lit, muted beige/grey palette (#bab9be, #9c9a9d). finish phase, ~78% in, 4:17–4:25.",,0,0.0,0.003,0.0,0.649,0.039,"#bab9be,#9c9a9d,#746767",1,,
0vn32fue7lg,https://www.youtube.com/watch?v=0vn32fue7lg,Make candles in any vessel | Easy candle math,330.0,storyboard,33,265.61,273.66,8.05,https://youtu.be/0vn32fue7lg?t=266s,reveal_result,finish,1,0.4,Finished candle/vessel shown.,"Finished candle/vessel shown. captioned, static shot, well-lit, muted beige/grey palette (#b8b7bc, #9e9da0). finish phase, ~80% in, 4:25–4:33.","4 ee oi Ti ener tater neat re FS oo OFT bee me or bouket 1 ong d,s Lm ee eet if fh 2 woe 7",1,0.0,0.012,0.022,0.644,0.034,"#b8b7bc,#9e9da0,#7b7576",1,,
1-44rrfu7kc,https://www.youtube.com/watch?v=1-44rrfu7kc,Satisfying Candle Making Process |DIY Christmas Candle 🎄| Learn Candle Making at Home,162.0,storyboard,14,113.4,121.5,8.1,https://youtu.be/1-44rrfu7kc?t=113s,reveal_result,finish,1,0.55,"Candle with red roses, lit.","Candle with red roses, lit. captioned, steady, low-motion shot, well-lit, muted grey/cream palette (#aa967c, #dfded5). finish phase, ~70% in, 1:53–2:01.",ae 5 et Ne us re Se 7 sf iy 7 4 7 By gui iw 2 7 al,1,0.0,0.058,0.079,0.587,0.133,"#aa967c,#dfded5,#56422c",1,,
1-44rrfu7kc,https://www.youtube.com/watch?v=1-44rrfu7kc,Satisfying Candle Making Process |DIY Christmas Candle 🎄| Learn Candle Making at Home,162.0,storyboard,15,121.5,129.6,8.1,https://youtu.be/1-44rrfu7kc?t=122s,reveal_result,finish,1,0.55,"Finished candle with roses, lit.","Finished candle with roses, lit. captioned, steady, low-motion shot, well-lit, muted grey/cream palette (#a8957c, #ddd9ce). finish phase, ~75% in, 2:01–2:09.",ary on Ne Zs ns sf? ly Ae 4 we? nF 7 7 23. PER ing ae af fio so,1,0.0,0.046,0.084,0.585,0.133,"#a8957c,#ddd9ce,#5b442f",1,,
