video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,45,360.75,368.77,8.02,https://youtu.be/-pjWKo7zgrs?t=361s,set_wick,assemble,1,0.5,Setting the wick.,os,0,0.0,0.033,0.192,0.555,0.09,"#c4bfb6,#383626,#938a7c",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,3,24.06,32.08,8.02,https://youtu.be/0gk3NsmJa7k?t=24s,set_wick,assemble,1,0.4,Centring the wicks.,iA Pe dat 9 AF ors,1,0.0,0.061,0.207,0.341,0.188,"#887645,#433c35,#a2978d",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,7,56.14,64.16,8.02,https://youtu.be/0gk3NsmJa7k?t=56s,set_wick,assemble,1,0.4,Centring the wicks.,Vie. ne SET he wy Ss,1,0.0,0.149,0.052,0.44,0.114,"#7f7466,#473d34,#b6aca2",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,11,88.22,96.24,8.02,https://youtu.be/0gk3NsmJa7k?t=88s,set_wick,assemble,1,0.4,Centring the wicks.,pas PNG SIO OES,1,0.0,0.23,0.106,0.452,0.078,"#4d4842,#7c7367,#b4a698",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,15,120.3,128.32,8.02,https://youtu.be/0gk3NsmJa7k?t=120s,set_wick,assemble,1,0.4,Centring the wicks.,SF,0,0.0,0.335,0.0,0.438,0.12,"#4f432c,#87795f,#c2b2a3",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,19,152.38,160.4,8.02,https://youtu.be/0gk3NsmJa7k?t=152s,set_wick,assemble,1,0.4,Centring the wicks.,SO ae ree ag ee,1,0.0,0.218,0.0,0.449,0.15,"#a4a7a6,#6b6d64,#3e392b",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,23,184.46,192.48,8.02,https://youtu.be/0gk3NsmJa7k?t=184s,set_wick,assemble,1,0.4,Centring the wicks.,Fe 17,0,0.0,0.174,0.0,0.377,0.103,"#6a5a48,#3f3327,#9b8977",1,,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,9,71.76,79.74,7.98,https://youtu.be/0pqimQlf8tQ?t=72s,set_wick,assemble,1,0.45,Setting wicks/sticks in the glasses.,Loa,0,0.0,0.181,0.04,0.446,0.165,"#7a4c49,#ad9177,#c5cac5",1,,
2KbmlOnPJnU,https://www.youtube.com/watch?v=2KbmlOnPJnU,How To Make an INFINITE CANDLE Wick – Burns Forever!,151.0,storyboard,9,71.53,79.47,7.94,https://youtu.be/2KbmlOnPJnU?t=72s,set_wick,assemble,1,0.45,The float wick is set into a small metal cup/burner.,0 zz ofl ae ig 24 ee ee er al or 3 se men do oe,1,0.0,0.02,0.187,0.328,0.123,"#2d241e,#56453c,#9d7a6c",1,,
2KbmlOnPJnU,https://www.youtube.com/watch?v=2KbmlOnPJnU,How To Make an INFINITE CANDLE Wick – Burns Forever!,151.0,storyboard,10,79.47,87.42,7.95,https://youtu.be/2KbmlOnPJnU?t=79s,set_wick,assemble,1,0.45,Hands position the float wick in the oil cup.,aia 4 0,0,0.0,0.036,0.081,0.313,0.091,"#482f22,#615648,#a59b83",1,,
2ZagX6xiRog,https://www.youtube.com/watch?v=2ZagX6xiRog,How to Make Candles in Jars : Basic Candle Making,102.0,storyboard,4,31.38,39.23,7.85,https://youtu.be/2ZagX6xiRog?t=31s,set_wick,assemble,1,0.5,Placing wicks into the jars.,oS,0,0.0,0.031,0.122,0.606,0.169,"#dad294,#8b7e56,#1e1d15",1,,
2ZagX6xiRog,https://www.youtube.com/watch?v=2ZagX6xiRog,How to Make Candles in Jars : Basic Candle Making,102.0,storyboard,5,39.23,47.08,7.85,https://youtu.be/2ZagX6xiRog?t=39s,set_wick,assemble,1,0.5,Centring wicks in the jars.,7,0,0.0,0.029,0.107,0.54,0.176,"#d7ce93,#9a895b,#17140e",1,,
2ZagX6xiRog,https://www.youtube.com/watch?v=2ZagX6xiRog,How to Make Candles in Jars : Basic Candle Making,102.0,storyboard,6,47.08,54.92,7.84,https://youtu.be/2ZagX6xiRog?t=47s,set_wick,assemble,1,0.45,Adjusting wicks; a metal pot nearby.,aa wer,0,0.0,0.025,0.078,0.543,0.175,"#d4c78b,#90855a,#13110d",1,,
2ZagX6xiRog,https://www.youtube.com/watch?v=2ZagX6xiRog,How to Make Candles in Jars : Basic Candle Making,102.0,storyboard,7,54.92,62.77,7.85,https://youtu.be/2ZagX6xiRog?t=55s,set_wick,assemble,1,0.45,Wick pins set; a metal pouring pitcher.,af 5 ud 7 al ts,1,0.0,0.015,0.194,0.409,0.16,"#9b8a60,#14120e,#dcdbbf",1,,
2ZagX6xiRog,https://www.youtube.com/watch?v=2ZagX6xiRog,How to Make Candles in Jars : Basic Candle Making,102.0,storyboard,8,62.77,70.62,7.85,https://youtu.be/2ZagX6xiRog?t=63s,set_wick,assemble,1,0.5,Pouring yellow wax (via the pitcher) into the jars.,,0,0.0,0.013,0.161,0.375,0.154,"#0e0d0a,#c3b384,#8a7a53",1,,
2ZagX6xiRog,https://www.youtube.com/watch?v=2ZagX6xiRog,How to Make Candles in Jars : Basic Candle Making,102.0,storyboard,9,70.62,78.46,7.84,https://youtu.be/2ZagX6xiRog?t=71s,set_wick,assemble,1,0.45,Jar with centred wick.,,0,0.0,0.008,0.242,0.464,0.198,"#b4ab5a,#8a7e44,#1f1b11",1,,
40mkiCY8uMM,https://www.youtube.com/watch?v=40mkiCY8uMM,How To Make Mini 1 Oz. Soy Candles | Fall Scented Sample Candles,583.0,storyboard,24,191.67,199.66,7.99,https://youtu.be/40mkiCY8uMM?t=192s,set_wick,assemble,1,0.5,Setting/centring wicks in the mini tins.,ae,0,0.0,0.18,0.027,0.451,0.088,"#8e8c8c,#796b64,#252323",1,,
40mkiCY8uMM,https://www.youtube.com/watch?v=40mkiCY8uMM,How To Make Mini 1 Oz. Soy Candles | Fall Scented Sample Candles,583.0,storyboard,25,199.66,207.64,7.98,https://youtu.be/40mkiCY8uMM?t=200s,set_wick,assemble,1,0.5,Setting/centring wicks in the mini tins.,so ee Ae? aff ay,1,0.0,0.132,0.042,0.447,0.096,"#948888,#7a645e,#212021",1,,
40mkiCY8uMM,https://www.youtube.com/watch?v=40mkiCY8uMM,How To Make Mini 1 Oz. Soy Candles | Fall Scented Sample Candles,583.0,storyboard,26,207.64,215.63,7.99,https://youtu.be/40mkiCY8uMM?t=208s,set_wick,assemble,1,0.5,Setting/centring wicks in the mini tins.,7 Ho,0,0.0,0.161,0.0,0.448,0.109,"#938888,#76635b,#221e1e",1,,
40mkiCY8uMM,https://www.youtube.com/watch?v=40mkiCY8uMM,How To Make Mini 1 Oz. Soy Candles | Fall Scented Sample Candles,583.0,storyboard,27,215.63,223.62,7.99,https://youtu.be/40mkiCY8uMM?t=216s,set_wick,assemble,1,0.5,Setting/centring wicks in the mini tins.,iw eee oo et,1,0.0,0.152,0.048,0.454,0.099,"#948787,#78665d,#211f20",1,,
40mkiCY8uMM,https://www.youtube.com/watch?v=40mkiCY8uMM,How To Make Mini 1 Oz. Soy Candles | Fall Scented Sample Candles,583.0,storyboard,28,223.62,231.6,7.98,https://youtu.be/40mkiCY8uMM?t=224s,set_wick,assemble,1,0.5,Prepping the mini tins.,wy eu,0,0.0,0.13,0.044,0.445,0.107,"#918888,#7b645b,#221f20",1,,
40mkiCY8uMM,https://www.youtube.com/watch?v=40mkiCY8uMM,How To Make Mini 1 Oz. Soy Candles | Fall Scented Sample Candles,583.0,storyboard,29,231.6,239.59,7.99,https://youtu.be/40mkiCY8uMM?t=232s,set_wick,assemble,1,0.5,Setting/centring wicks in the mini tins.,lw fener af,1,0.0,0.092,0.0,0.45,0.102,"#938a8a,#736159,#1f1d1e",1,,
40mkiCY8uMM,https://www.youtube.com/watch?v=40mkiCY8uMM,How To Make Mini 1 Oz. Soy Candles | Fall Scented Sample Candles,583.0,storyboard,30,239.59,247.58,7.99,https://youtu.be/40mkiCY8uMM?t=240s,set_wick,assemble,1,0.5,Setting/centring wicks in the mini tins.,Cl he,0,0.0,0.14,0.023,0.44,0.104,"#928686,#6f5d53,#1e1c1d",1,,
40mkiCY8uMM,https://www.youtube.com/watch?v=40mkiCY8uMM,How To Make Mini 1 Oz. Soy Candles | Fall Scented Sample Candles,583.0,storyboard,31,247.58,255.56,7.98,https://youtu.be/40mkiCY8uMM?t=248s,set_wick,assemble,1,0.5,Setting/centring wicks in the mini tins.,ST ler,0,0.0,0.168,0.031,0.44,0.105,"#928787,#715f58,#1f1e1e",1,,
40mkiCY8uMM,https://www.youtube.com/watch?v=40mkiCY8uMM,How To Make Mini 1 Oz. Soy Candles | Fall Scented Sample Candles,583.0,storyboard,32,255.56,263.55,7.99,https://youtu.be/40mkiCY8uMM?t=256s,set_wick,assemble,1,0.5,Setting/centring wicks in the mini tins.,my ae,0,0.0,0.145,0.025,0.441,0.098,"#8f8685,#736359,#1f1d1d",1,,
40mkiCY8uMM,https://www.youtube.com/watch?v=40mkiCY8uMM,How To Make Mini 1 Oz. Soy Candles | Fall Scented Sample Candles,583.0,storyboard,33,263.55,271.53,7.98,https://youtu.be/40mkiCY8uMM?t=264s,set_wick,assemble,1,0.5,Setting/centring wicks in the mini tins.,wi.,0,0.0,0.162,0.0,0.454,0.109,"#988988,#76665d,#22201f",1,,
