video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,0,0.0,8.02,8.02,https://youtu.be/-pjWKo7zgrs?t=0s,intro_titlecard,intro,0,0.4,Finished candle teaser; 'Boowannite' jesmonite jars.,,0,0.0,0.014,0.239,0.609,0.105,"#b4ab9e,#6c5f41,#fbece4",1,,description references on-screen text but OCR found none
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,1,8.02,16.03,8.01,https://youtu.be/-pjWKo7zgrs?t=8s,intro_titlecard,intro,0,0.4,Finished candle teaser; 'Boowannite' jesmonite jars.,,0,0.0,0.005,0.0,0.612,0.137,"#dfd9d3,#4f392e,#958479",1,,description references on-screen text but OCR found none
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,2,16.03,24.05,8.02,https://youtu.be/-pjWKo7zgrs?t=16s,intro_titlecard,intro,0,0.4,Finished candle teaser; 'Boowannite' jesmonite jars.,"Tha: oN Mplits for sending me this mold! this one because pmevated, unique look that haven't Gen defore.",1,0.0,0.049,0.206,0.527,0.107,"#51392b,#c5bfb5,#8d786a",1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,3,24.05,32.07,8.02,https://youtu.be/-pjWKo7zgrs?t=24s,intro_titlecard,intro,0,0.4,Finished candle teaser; 'Boowannite' jesmonite jars.,Boowannite,1,0.0,0.015,0.463,0.725,0.096,"#fcfcc6,#a3a88f,#2e4960",1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,4,32.07,40.08,8.01,https://youtu.be/-pjWKo7zgrs?t=32s,intro_titlecard,intro,0,0.5,"On-screen text card (auto-detected: static frame, OCR text). Text reads: 'pee oS ea Bre, oP La 4 VL Hae be mEntped 8Qus ree erhonite AC10Gs'.","pee oS ea Bre, oP La 4 VL Hae be mEntped 8Qus ree erhonite AC10Gs",1,0.0,0.056,0.0,0.537,0.104,"#8b8578,#c1b8ab,#504939",0,text_overlay,
0ERh-nj5jjw,https://www.youtube.com/watch?v=0ERh-nj5jjw,how to measure candle wax for the perfect candle pour ⚖️,117.0,storyboard,0,0.0,7.8,7.8,https://youtu.be/0ERh-nj5jjw?t=0s,intro_titlecard,intro,0,0.45,Host opens in a bright studio with candle shelves.,2 gee,0,0.0,0.168,0.019,0.676,0.086,"#e5e0d8,#a79c8b,#625540",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,6,48.12,56.14,8.02,https://youtu.be/0gk3NsmJa7k?t=48s,intro_titlecard,intro,0,0.5,"On-screen text card (auto-detected: static frame, OCR text). Text reads: 'oe vin 4 hy eo, ae veh SRS oo 7 ot'.","oe vin 4 hy eo, ae veh SRS oo 7 ot",1,0.0,0.144,0.0,0.425,0.118,"#7a6d5d,#3f3534,#afa396",0,text_overlay,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,0,0.0,7.97,7.97,https://youtu.be/0tS8V3Gj9C0?t=0s,intro_titlecard,intro,0,0.4,Vlog intro card.,,0,0.0,0.006,0.924,0.462,0.045,"#fbedcb,#edb2b7,#aca581",1,,
1-44rrfu7kc,https://www.youtube.com/watch?v=1-44rrfu7kc,Satisfying Candle Making Process |DIY Christmas Candle 🎄| Learn Candle Making at Home,162.0,storyboard,0,0.0,8.1,8.1,https://youtu.be/1-44rrfu7kc?t=0s,intro_titlecard,intro,0,0.45,Pink 'Welcome to my channel' intro cards.,,0,0.0,0.01,0.069,0.906,0.075,"#facfce,#fdf9f1,#f2e68e",1,,description references on-screen text but OCR found none
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,0,0.0,7.94,7.94,https://youtu.be/1V3hfxo7OtE?t=0s,intro_titlecard,intro,0,0.55,"opening, two hosts",av 2 iE Eel ee Ba! iv mae,1,0.0,0.04,0.543,0.272,0.094,"#b08c6d,#635546,#bdbbb2",1,,
