video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,40,320.67,328.68,8.01,https://youtu.be/-pjWKo7zgrs?t=321s,measure_wax,prep,1,0.5,Weighing wax on the scale.,"Weighing wax on the scale. captioned, moderate on-screen movement, well-lit, muted beige/grey palette (#beb3a6, #937d6c). prep phase, ~67% in, 5:20–5:28.",Jq0 2 Oo 9 4,1,0.0,0.073,0.221,0.464,0.116,"#beb3a6,#937d6c,#413b2a",1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,41,328.68,336.7,8.02,https://youtu.be/-pjWKo7zgrs?t=329s,measure_wax,prep,1,0.5,Weighing wax on the scale.,"Weighing wax on the scale. static shot, well-lit, muted beige/grey palette (#bbb2a6, #7b6c5b). prep phase, ~68% in, 5:28–5:36.",et Vg,0,0.0,0.042,0.0,0.516,0.112,"#bbb2a6,#7b6c5b,#292a19",1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,44,352.73,360.75,8.02,https://youtu.be/-pjWKo7zgrs?t=353s,measure_wax,prep,1,0.5,Weighing wax on the scale.,"Weighing wax on the scale. captioned, static shot, well-lit, muted beige/grey palette (#c0b8ab, #95846d). prep phase, ~73% in, 5:52–6:00.",2 Ce: ki 7 Fr fis,1,0.0,0.057,0.0,0.545,0.134,"#c0b8ab,#95846d,#594f2a",1,,
0ERh-nj5jjw,https://www.youtube.com/watch?v=0ERh-nj5jjw,how to measure candle wax for the perfect candle pour ⚖️,117.0,storyboard,8,62.4,70.2,7.8,https://youtu.be/0ERh-nj5jjw?t=62s,measure_wax,prep,1,0.5,Wax flakes portioned into the black tins.,"Wax flakes portioned into the black tins. steady, low-motion shot, well-lit, muted cream/beige palette (#d9d4cf, #aaa197). prep phase, ~53% in, 1:02–1:10.",See,0,0.0,0.082,0.143,0.689,0.059,"#d9d4cf,#aaa197,#282522",1,,
0ERh-nj5jjw,https://www.youtube.com/watch?v=0ERh-nj5jjw,how to measure candle wax for the perfect candle pour ⚖️,117.0,storyboard,9,70.2,78.0,7.8,https://youtu.be/0ERh-nj5jjw?t=70s,measure_wax,prep,1,0.45,Measuring wax; a white wax slab.,"Measuring wax; a white wax slab. captioned, moderate on-screen movement, well-lit, muted cream/grey palette (#ded8d1, #a09380). prep phase, ~60% in, 1:10–1:18.",Sg eee ot ge,1,0.0,0.047,0.236,0.696,0.054,"#ded8d1,#a09380,#5c4f3a",1,,
0ERh-nj5jjw,https://www.youtube.com/watch?v=0ERh-nj5jjw,how to measure candle wax for the perfect candle pour ⚖️,117.0,storyboard,10,78.0,85.8,7.8,https://youtu.be/0ERh-nj5jjw?t=78s,measure_wax,prep,1,0.5,Cutting/weighing a white wax slab on a scale.,"Cutting/weighing a white wax slab on a scale. steady, low-motion shot, well-lit, muted cream/grey palette (#e4ded6, #a19684). prep phase, ~67% in, 1:18–1:25.",4 by,0,0.0,0.136,0.115,0.699,0.079,"#e4ded6,#a19684,#5b4e38",1,,
0ERh-nj5jjw,https://www.youtube.com/watch?v=0ERh-nj5jjw,how to measure candle wax for the perfect candle pour ⚖️,117.0,storyboard,14,109.2,117.0,7.8,https://youtu.be/0ERh-nj5jjw?t=109s,measure_wax,prep,1,0.45,Black tin with measured wax/powder.,"Black tin with measured wax/powder. captioned, lots of on-screen movement, dim, muted black palette (#000000, #010001). prep phase, ~93% in, 1:49–1:57.",eer rerrr all,1,0.0,0.007,0.366,0.245,0.011,"#000000,#010001,#040303",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,5,39.69,47.62,7.93,https://youtu.be/1V3hfxo7OtE?t=40s,measure_wax,prep,1,0.5,overhead hands with jars/wax,"overhead hands with jars/wax. captioned, static shot, well-lit, amber/brown palette (#a37c5a, #4f413a). prep phase, ~8% in, 0:39–0:47.","fi 7 an 8 od te Aes ry ia fa ss ioe 7 VE 5 3 ed 255 Pe, 7 uf EF oh",1,1.0,0.036,0.016,0.497,0.184,"#a37c5a,#4f413a,#c7c1be",0,talking_head,action label 'measure_wax' but a strong face fills the frame
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,6,47.62,55.56,7.94,https://youtu.be/1V3hfxo7OtE?t=48s,measure_wax,prep,1,0.5,overhead measuring,"overhead measuring. Weighing or measuring wax flakes into a pouring pot or pitcher. captioned, steady, low-motion shot, well-lit, amber/brown palette (#a1785a, #533f35). prep phase, ~9% in, 0:47–0:55.",pare on fr ya Ve oe os ee le ray fF fa SS an 4 ou uit on he. 5 ai ge ra 4 pom 4 Be 4,1,0.0,0.042,0.063,0.498,0.185,"#a1785a,#533f35,#c0b9b5",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,7,55.56,63.5,7.94,https://youtu.be/1V3hfxo7OtE?t=56s,measure_wax,prep,1,0.5,overhead bench work,"overhead bench work. Weighing or measuring wax flakes into a pouring pot or pitcher. captioned, static shot, well-lit, amber/brown palette (#9f7757, #453a36). prep phase, ~11% in, 0:55–1:03.",au 5 7 4 xt bas an re ma iy Be ida ae,1,1.0,0.027,0.0,0.49,0.183,"#9f7757,#453a36,#c4bfbb",0,talking_head,action label 'measure_wax' but a strong face fills the frame
