video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,42,336.7,344.72,8.02,https://youtu.be/-pjWKo7zgrs?t=337s,melt_wax,process,1,0.5,Melting the wax.,"Melting the wax. Heating the wax - double boiler or melting pot on a stove, wax going from flakes to clear liquid, stirring as it melts. captioned, moderate on-screen movement, well-lit, muted beige/grey palette (#c0b9a8, #7f7362). process phase, ~70% in, 5:36–5:44.",Th Pk 7 re is td Me iy gy pc ny Candie: tee! the,1,0.0,0.048,0.19,0.532,0.103,"#c0b9a8,#7f7362,#322d1d",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,24,192.48,200.51,8.03,https://youtu.be/0gk3NsmJa7k?t=192s,melt_wax,process,1,0.5,Melting amber wax in the metal melter/pitcher (winter batch).,"Melting amber wax in the metal melter/pitcher (winter batch). captioned, static shot, dim, muted brown/grey palette (#655745, #978777). process phase, ~24% in, 3:12–3:20.",Wall Bose Ker,1,0.0,0.173,0.044,0.371,0.1,"#655745,#978777,#3a2f20",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,25,200.51,208.53,8.02,https://youtu.be/0gk3NsmJa7k?t=201s,melt_wax,process,1,0.5,Melting amber wax in the metal melter/pitcher (winter batch).,"Melting amber wax in the metal melter/pitcher (winter batch). captioned, static shot, dim, muted brown/grey palette (#6a5a48, #978573). process phase, ~25% in, 3:20–3:28.",wr TS Gale,1,0.0,0.133,0.045,0.37,0.095,"#6a5a48,#978573,#3b2e20",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,26,208.53,216.55,8.02,https://youtu.be/0gk3NsmJa7k?t=209s,melt_wax,process,1,0.5,Pouring amber wax into the jars.,"Pouring amber wax into the jars. moderate on-screen movement, dim, muted black/beige palette (#2f2924, #b1a193). process phase, ~26% in, 3:28–3:36.",,0,0.0,0.103,0.23,0.353,0.095,"#2f2924,#b1a193,#685b4f",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,27,216.55,224.57,8.02,https://youtu.be/0gk3NsmJa7k?t=217s,melt_wax,process,1,0.5,Melting amber wax in the metal melter/pitcher (winter batch).,"Melting amber wax in the metal melter/pitcher (winter batch). static shot, dim, muted black/grey palette (#342921, #7c6c5d). process phase, ~27% in, 3:36–3:44.",4,0,0.0,0.073,0.0,0.397,0.073,"#342921,#7c6c5d,#bead9e",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,28,224.57,232.59,8.02,https://youtu.be/0gk3NsmJa7k?t=225s,melt_wax,process,1,0.5,Melting amber wax in the metal melter/pitcher (winter batch).,"Melting amber wax in the metal melter/pitcher (winter batch). captioned, static shot, dim, muted black/grey palette (#342d24, #6e6a62). process phase, ~28% in, 3:44–3:52.",hun Ex IY,1,0.0,0.11,0.049,0.393,0.085,"#342d24,#6e6a62,#baa898",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,29,232.59,240.61,8.02,https://youtu.be/0gk3NsmJa7k?t=233s,melt_wax,process,1,0.5,Pouring amber wax into the jars.,"Pouring amber wax into the jars. steady, low-motion shot, dim, muted black/grey palette (#332b27, #7d6e60). process phase, ~29% in, 3:52–4:00.",an,0,0.0,0.088,0.096,0.378,0.079,"#332b27,#7d6e60,#bca999",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,30,240.61,248.63,8.02,https://youtu.be/0gk3NsmJa7k?t=241s,melt_wax,process,1,0.5,Melting amber wax in the metal melter/pitcher (winter batch).,"Melting amber wax in the metal melter/pitcher (winter batch). captioned, steady, low-motion shot, dim, muted black/grey palette (#332922, #7e6d5d). process phase, ~30% in, 4:00–4:08.",ines ant be,1,0.0,0.087,0.066,0.39,0.082,"#332922,#7e6d5d,#beaa99",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,31,248.63,256.65,8.02,https://youtu.be/0gk3NsmJa7k?t=249s,melt_wax,process,1,0.5,Melting amber wax in the metal melter/pitcher (winter batch).,"Melting amber wax in the metal melter/pitcher (winter batch). captioned, moderate on-screen movement, well-lit, muted brown/black palette (#7a6751, #3b3026). process phase, ~31% in, 4:08–4:16.",ee ns NS aege,1,0.0,0.15,0.172,0.411,0.102,"#7a6751,#3b3026,#b9a99b",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,30,238.12,246.06,7.94,https://youtu.be/1V3hfxo7OtE?t=238s,melt_wax,process,1,0.65,'Melt the Wax' card + pot on stove,"'Melt the Wax' card + pot on stove. captioned, static shot, well-lit, muted black/beige palette (#312b2d, #b2aca1). process phase, ~47% in, 3:58–4:06.",MTT Hunn Cae zs rT pe,1,0.0,0.184,0.0,0.427,0.069,"#312b2d,#b2aca1,#706c68",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,31,246.06,254.0,7.94,https://youtu.be/1V3hfxo7OtE?t=246s,melt_wax,process,1,0.65,pot melting on stove,"pot melting on stove. Heating the wax - double boiler or melting pot on a stove, wax going from flakes to clear liquid, stirring as it melts. captioned, lots of on-screen movement, dim, muted black/white palette (#000000, #e9e9e9). process phase, ~48% in, 4:06–4:14.",Prep the Containers,1,0.0,0.127,0.416,0.223,0.038,"#000000,#e9e9e9,#6a6a6a",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,32,254.0,261.94,7.94,https://youtu.be/1V3hfxo7OtE?t=254s,melt_wax,process,1,0.6,pot melting on stove,"pot melting on stove. Heating the wax - double boiler or melting pot on a stove, wax going from flakes to clear liquid, stirring as it melts. steady, low-motion shot, well-lit, brown/grey palette (#8c6a4b, #a28365). process phase, ~50% in, 4:14–4:21.",,0,0.5,0.016,0.057,0.531,0.15,"#8c6a4b,#a28365,#a4bbd4",0,talking_head,
1tDWhMxtEqU,https://www.youtube.com/watch?v=1tDWhMxtEqU,Easiest Beeswax Candle Recipe | How to Make a Beeswax Candle,512.0,storyboard,29,232.0,240.0,8.0,https://youtu.be/1tDWhMxtEqU?t=232s,melt_wax,process,1,0.5,Melting beeswax in the pot.,"Melting beeswax in the pot. static shot, well-lit, muted grey/brown palette (#9b8b7f, #5e5146). process phase, ~45% in, 3:52–4:00.",oo,0,0.0,0.024,0.046,0.569,0.11,"#9b8b7f,#5e5146,#e4e3df",1,,
1tDWhMxtEqU,https://www.youtube.com/watch?v=1tDWhMxtEqU,Easiest Beeswax Candle Recipe | How to Make a Beeswax Candle,512.0,storyboard,30,240.0,248.0,8.0,https://youtu.be/1tDWhMxtEqU?t=240s,melt_wax,process,1,0.5,Melting beeswax in the pot.,"Melting beeswax in the pot. moderate on-screen movement, well-lit, muted white/beige palette (#eeeef0, #c8b9a5). process phase, ~47% in, 4:00–4:08.",oer rae,0,0.0,0.097,0.306,0.697,0.106,"#eeeef0,#c8b9a5,#655b52",1,,
1tDWhMxtEqU,https://www.youtube.com/watch?v=1tDWhMxtEqU,Easiest Beeswax Candle Recipe | How to Make a Beeswax Candle,512.0,storyboard,31,248.0,256.0,8.0,https://youtu.be/1tDWhMxtEqU?t=248s,melt_wax,process,1,0.5,Melting beeswax in the pot.,"Melting beeswax in the pot. captioned, static shot, bright, muted white/beige palette (#efeeef, #c8b9a5). process phase, ~48% in, 4:08–4:16.",Ges belli: Mo on ue Ps SSE ede,1,0.0,0.191,0.0,0.835,0.102,"#efeeef,#c8b9a5,#5b514a",0,text_overlay,
1tDWhMxtEqU,https://www.youtube.com/watch?v=1tDWhMxtEqU,Easiest Beeswax Candle Recipe | How to Make a Beeswax Candle,512.0,storyboard,34,272.0,280.0,8.0,https://youtu.be/1tDWhMxtEqU?t=272s,melt_wax,process,1,0.5,Melting beeswax in the pot.,"Melting beeswax in the pot. steady, low-motion shot, bright, muted white/beige palette (#ececec, #d4c7b7). process phase, ~53% in, 4:32–4:40.",gf,0,0.0,0.087,0.146,0.828,0.116,"#ececec,#d4c7b7,#b7946f",1,,
1tDWhMxtEqU,https://www.youtube.com/watch?v=1tDWhMxtEqU,Easiest Beeswax Candle Recipe | How to Make a Beeswax Candle,512.0,storyboard,35,280.0,288.0,8.0,https://youtu.be/1tDWhMxtEqU?t=280s,melt_wax,process,1,0.5,Melting beeswax in the pot.,"Melting beeswax in the pot. moderate on-screen movement, bright, muted cream/brown palette (#eadac7, #47372c). process phase, ~55% in, 4:40–4:48.",,0,0.0,0.083,0.287,0.727,0.12,"#eadac7,#47372c,#a99485",1,,
1tDWhMxtEqU,https://www.youtube.com/watch?v=1tDWhMxtEqU,Easiest Beeswax Candle Recipe | How to Make a Beeswax Candle,512.0,storyboard,36,288.0,296.0,8.0,https://youtu.be/1tDWhMxtEqU?t=288s,melt_wax,process,1,0.5,Pouring wax into the jars.,"Pouring wax into the jars. steady, low-motion shot, well-lit, muted cream/brown palette (#e7dec4, #4b4234). process phase, ~56% in, 4:48–4:56.",ae te,0,0.0,0.099,0.135,0.597,0.138,"#e7dec4,#4b4234,#968a84",1,,
1tDWhMxtEqU,https://www.youtube.com/watch?v=1tDWhMxtEqU,Easiest Beeswax Candle Recipe | How to Make a Beeswax Candle,512.0,storyboard,37,296.0,304.0,8.0,https://youtu.be/1tDWhMxtEqU?t=296s,melt_wax,process,1,0.5,Melting beeswax in the pot.,"Melting beeswax in the pot. captioned, moderate on-screen movement, bright, muted white/beige palette (#efedef, #cbb7a4). process phase, ~58% in, 4:56–5:04.",AG nite oy 4 1 ae Tee ah eS Vo,1,0.0,0.164,0.281,0.726,0.119,"#efedef,#cbb7a4,#695c55",1,,
1tDWhMxtEqU,https://www.youtube.com/watch?v=1tDWhMxtEqU,Easiest Beeswax Candle Recipe | How to Make a Beeswax Candle,512.0,storyboard,38,304.0,312.0,8.0,https://youtu.be/1tDWhMxtEqU?t=304s,melt_wax,process,1,0.5,Melting beeswax in the pot.,"Melting beeswax in the pot. moderate on-screen movement, well-lit, muted grey/cream palette (#907f76, #e4e3df). process phase, ~59% in, 5:04–5:12.",tel 1,0,0.0,0.092,0.315,0.699,0.112,"#907f76,#e4e3df,#41352e",1,,
1tDWhMxtEqU,https://www.youtube.com/watch?v=1tDWhMxtEqU,Easiest Beeswax Candle Recipe | How to Make a Beeswax Candle,512.0,storyboard,47,376.0,384.0,8.0,https://youtu.be/1tDWhMxtEqU?t=376s,melt_wax,process,1,0.5,Melting beeswax in the pot.,"Melting beeswax in the pot. lots of on-screen movement, well-lit, muted white/beige palette (#eeeeef, #c8b5a1). process phase, ~73% in, 6:16–6:24.",ea,0,0.0,0.21,0.363,0.671,0.101,"#eeeeef,#c8b5a1,#726556",1,,
2nxGLwe1Znk,https://www.youtube.com/watch?v=2nxGLwe1Znk,DIY Mason Jar Candles | How to Make Mason Jar Candles,147.0,storyboard,4,32.67,40.83,8.16,https://youtu.be/2nxGLwe1Znk?t=33s,melt_wax,process,1,0.55,"Pitcher in a water bath on the induction hob, melting.","Pitcher in a water bath on the induction hob, melting. moderate on-screen movement, well-lit, muted cream/brown palette (#dfdedb, #45413b). process phase, ~22% in, 0:32–0:40.",ema,0,0.0,0.103,0.162,0.616,0.061,"#dfdedb,#45413b,#8b8880",1,,
2nxGLwe1Znk,https://www.youtube.com/watch?v=2nxGLwe1Znk,DIY Mason Jar Candles | How to Make Mason Jar Candles,147.0,storyboard,5,40.83,49.0,8.17,https://youtu.be/2nxGLwe1Znk?t=41s,melt_wax,process,1,0.5,Wax melting in the double boiler.,"Wax melting in the double boiler. steady, low-motion shot, well-lit, muted cream/brown palette (#dedfda, #3a3827). process phase, ~28% in, 0:40–0:49.",1,0,0.0,0.055,0.101,0.542,0.101,"#dedfda,#3a3827,#87857a",1,,
2nxGLwe1Znk,https://www.youtube.com/watch?v=2nxGLwe1Znk,DIY Mason Jar Candles | How to Make Mason Jar Candles,147.0,storyboard,6,49.0,57.17,8.17,https://youtu.be/2nxGLwe1Znk?t=49s,melt_wax,process,1,0.5,Melting wax; caption 'Heat to 185°'.,"Melting wax; caption 'Heat to 185°'. captioned, moderate on-screen movement, well-lit, muted black/white palette (#38322b, #f7f4f0). process phase, ~33% in, 0:49–0:57.",TT0 dt 3,1,0.0,0.125,0.243,0.538,0.127,"#38322b,#f7f4f0,#80958a",1,,
3RNr0rflCUU,https://www.youtube.com/watch?v=3RNr0rflCUU,"BUSINESS VLOG 🧸 preparing for shop launch, making 400 candles & my studio tour",834.0,storyboard,72,577.38,585.4,8.02,https://youtu.be/3RNr0rflCUU?t=577s,melt_wax,process,1,0.5,Melting wax in the silver urn melter.,"Melting wax in the silver urn melter. captioned, moderate on-screen movement, well-lit, muted grey/beige palette (#938d87, #bcc0ba). process phase, ~69% in, 9:37–9:45.",Tis 7 an 7 PS Sg Carr,1,0.0,0.061,0.24,0.5,0.059,"#938d87,#bcc0ba,#453f3c",1,,
3RNr0rflCUU,https://www.youtube.com/watch?v=3RNr0rflCUU,"BUSINESS VLOG 🧸 preparing for shop launch, making 400 candles & my studio tour",834.0,storyboard,73,585.4,593.42,8.02,https://youtu.be/3RNr0rflCUU?t=585s,melt_wax,process,1,0.5,Melting wax in the silver urn melter.,"Melting wax in the silver urn melter. captioned, moderate on-screen movement, well-lit, muted beige/grey palette (#afada7, #847871). process phase, ~70% in, 9:45–9:53.",7 Lv. 4 Aah ss oe Dey on re,1,0.0,0.069,0.2,0.514,0.082,"#afada7,#847871,#36312d",1,,
3RNr0rflCUU,https://www.youtube.com/watch?v=3RNr0rflCUU,"BUSINESS VLOG 🧸 preparing for shop launch, making 400 candles & my studio tour",834.0,storyboard,74,593.42,601.44,8.02,https://youtu.be/3RNr0rflCUU?t=593s,melt_wax,process,1,0.5,Melting wax in the silver urn melter.,"Melting wax in the silver urn melter. captioned, static shot, well-lit, muted beige/grey palette (#bab9b4, #7b7976). process phase, ~71% in, 9:53–10:01.",ll Fa 3 MAN TL sS ystee tee pest 4 2 ee,1,1.0,0.055,0.0,0.532,0.043,"#bab9b4,#7b7976,#2e2d2c",0,talking_head,action label 'melt_wax' but a strong face fills the frame
