video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
-dVj7BYicmQ,https://www.youtube.com/watch?v=-dVj7BYicmQ,Create your own custom-scented candle at The Candle Pour | Taste and See Tampa Bay,99.0,storyboard,4,33.0,41.25,8.25,https://youtu.be/-dVj7BYicmQ?t=33s,other_unclear,aux,0,0.4,Customers browse and sniff scent jars in the store.,,0,0.0,0.15,0.323,0.563,0.099,"#c0b9b6,#261713,#785e58",1,,
-dVj7BYicmQ,https://www.youtube.com/watch?v=-dVj7BYicmQ,Create your own custom-scented candle at The Candle Pour | Taste and See Tampa Bay,99.0,storyboard,5,41.25,49.5,8.25,https://youtu.be/-dVj7BYicmQ?t=41s,other_unclear,aux,0,0.4,A man sniffs a scent jar to choose a fragrance.,"wo, Oy ci ee Visweae ss: rr we rete 4",1,0.0,0.175,0.175,0.49,0.116,"#86776f,#bfb0a4,#351617",1,,
0vn32fue7lg,https://www.youtube.com/watch?v=0vn32fue7lg,Make candles in any vessel | Easy candle math,330.0,storyboard,13,104.63,112.68,8.05,https://youtu.be/0vn32fue7lg?t=105s,other_unclear,aux,0,0.4,A cat in frame.,ie ed ae,1,0.0,0.036,0.129,0.62,0.052,"#a3969a,#c1bbbe,#725757",1,,
0vn32fue7lg,https://www.youtube.com/watch?v=0vn32fue7lg,Make candles in any vessel | Easy candle math,330.0,storyboard,14,112.68,120.73,8.05,https://youtu.be/0vn32fue7lg?t=113s,other_unclear,aux,0,0.4,Green leaves b-roll.,,0,0.0,0.014,0.0,0.624,0.032,"#958f97,#bdb9ba,#695f5d",1,,
0vn32fue7lg,https://www.youtube.com/watch?v=0vn32fue7lg,Make candles in any vessel | Easy candle math,330.0,storyboard,15,120.73,128.78,8.05,https://youtu.be/0vn32fue7lg?t=121s,other_unclear,aux,0,0.4,A cat; plastic sheet.,az ow ae owner an 7,1,0.0,0.042,0.088,0.617,0.05,"#a39da2,#827a80,#c4c1c3",1,,
5mCtnH6K4u0,https://www.youtube.com/watch?v=5mCtnH6K4u0,Candle Care Series [Ribbonwick Candles],70.0,storyboard,2,15.56,23.33,7.77,https://youtu.be/5mCtnH6K4u0?t=16s,other_unclear,aux,0,0.45,"Close-up of a lit rectangular RibbonWick candle in a dish; caption 'Extinguish if flame is over 1 inch high' — candle-use guidance, off the making taxonomy.",Ns SZ ald wT 4 2 ae ee,1,0.0,0.067,0.137,0.33,0.135,"#8c6a56,#241711,#e2cabb",1,,
5mCtnH6K4u0,https://www.youtube.com/watch?v=5mCtnH6K4u0,Candle Care Series [Ribbonwick Candles],70.0,storyboard,3,23.33,31.11,7.78,https://youtu.be/5mCtnH6K4u0?t=23s,other_unclear,aux,0,0.45,"A card/paper is slid under the wick area; caption 'After wax has cooled, gently run index finger over wick' — wick maintenance.",mt 7 ya we te- 4,1,0.0,0.057,0.14,0.342,0.142,"#916f5d,#271811,#dcc9b2",1,,
5mCtnH6K4u0,https://www.youtube.com/watch?v=5mCtnH6K4u0,Candle Care Series [Ribbonwick Candles],70.0,storyboard,4,31.11,38.89,7.78,https://youtu.be/5mCtnH6K4u0?t=31s,other_unclear,aux,0,0.45,Hands work over the cooled candle; caption 'Gently use index finger to remove loose wick material'.,,0,0.0,0.07,0.054,0.305,0.149,"#6e5143,#20120d,#d8ba9a",1,,description references on-screen text but OCR found none
5mCtnH6K4u0,https://www.youtube.com/watch?v=5mCtnH6K4u0,Candle Care Series [Ribbonwick Candles],70.0,storyboard,5,38.89,46.67,7.78,https://youtu.be/5mCtnH6K4u0?t=39s,other_unclear,aux,0,0.45,Hands remove loose wick debris from the ribbon wick before relighting.,2. 7 4 ay,1,0.0,0.078,0.21,0.374,0.134,"#6d4f41,#1d120d,#ddb981",1,,
5mCtnH6K4u0,https://www.youtube.com/watch?v=5mCtnH6K4u0,Candle Care Series [Ribbonwick Candles],70.0,storyboard,6,46.67,54.44,7.77,https://youtu.be/5mCtnH6K4u0?t=47s,other_unclear,aux,0,0.45,Close-up of the ribbon wick; caption 'Allow wax to melt fully to the edge of container' — burn guidance.,il La,0,0.0,0.093,0.44,0.305,0.095,"#000000,#060506,#040303",1,,description references on-screen text but OCR found none
