video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
-dVj7BYicmQ,https://www.youtube.com/watch?v=-dVj7BYicmQ,Create your own custom-scented candle at The Candle Pour | Taste and See Tampa Bay,99.0,storyboard,11,90.75,99.0,8.25,https://youtu.be/-dVj7BYicmQ?t=91s,outro_cta,aux,0,0.5,'Taste and See Tampa Bay' news end card.,"'Taste and See Tampa Bay' news end card. captioned, moderate on-screen movement, well-lit, muted white/beige palette (#f1efec, #c4c2c0). aux phase, ~92% in, 1:30–1:39.",taste Te,1,0.0,0.138,0.29,0.632,0.04,"#f1efec,#c4c2c0,#1b1817",1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,58,464.97,472.98,8.01,https://youtu.be/-pjWKo7zgrs?t=465s,outro_cta,aux,0,0.6,'Thank you for watching' card.,"'Thank you for watching' card. captioned, static shot, bright, muted cream palette (#fdfcc5, #dfceb9). aux phase, ~97% in, 7:44–7:52.",Thank you for watching! hOOLIE,1,0.0,0.04,0.0,0.956,0.103,"#fdfcc5,#dfceb9,#a4a997",0,text_overlay,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,59,472.98,481.0,8.02,https://youtu.be/-pjWKo7zgrs?t=473s,outro_cta,aux,0,0.6,'Thank you for watching' card.,"'Thank you for watching' card. lots of on-screen movement, well-lit, muted black palette (#000000, #010000). aux phase, ~98% in, 7:52–8:01.",ee,0,0.0,0.02,0.956,0.478,0.054,"#000000,#010000,#010105",1,,description references on-screen text but OCR found none
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,102,813.11,821.08,7.97,https://youtu.be/0tS8V3Gj9C0?t=813s,outro_cta,aux,0,0.6,"'From Kayla — like, comment & subscribe' end card.","'From Kayla — like, comment & subscribe' end card. captioned, static shot, bright, muted white/beige palette (#fcf8ec, #e9b6b4). aux phase, ~96% in, 13:33–13:41.","from, kayla",1,0.0,0.024,0.0,0.923,0.112,"#fcf8ec,#e9b6b4,#907564",1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,103,821.08,829.06,7.98,https://youtu.be/0tS8V3Gj9C0?t=821s,outro_cta,aux,0,0.6,"'From Kayla — like, comment & subscribe' end card.","'From Kayla — like, comment & subscribe' end card. captioned, static shot, bright, muted white/beige palette (#fcf8ec, #e9b6b4). aux phase, ~97% in, 13:41–13:49.","from, kayla",1,0.0,0.024,0.001,0.923,0.112,"#fcf8ec,#e9b6b4,#907564",1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,104,829.06,837.03,7.97,https://youtu.be/0tS8V3Gj9C0?t=829s,outro_cta,aux,0,0.6,"'From Kayla — like, comment & subscribe' end card.","'From Kayla — like, comment & subscribe' end card. captioned, static shot, bright, muted white/beige palette (#fcf8ec, #e9b6b5). aux phase, ~98% in, 13:49–13:57.","from, kayla",1,0.0,0.024,0.0,0.923,0.112,"#fcf8ec,#e9b6b5,#917563",1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,105,837.03,845.0,7.97,https://youtu.be/0tS8V3Gj9C0?t=837s,outro_cta,aux,0,0.6,"'From Kayla — like, comment & subscribe' end card.","'From Kayla — like, comment & subscribe' end card. lots of on-screen movement, well-lit, muted black palette (#000000, #020100). aux phase, ~99% in, 13:57–14:05.",,0,0.0,0.012,0.923,0.462,0.057,"#000000,#020100,#000002",1,,description references on-screen text but OCR found none
1-44rrfu7kc,https://www.youtube.com/watch?v=1-44rrfu7kc,Satisfying Candle Making Process |DIY Christmas Candle 🎄| Learn Candle Making at Home,162.0,storyboard,18,145.8,153.9,8.1,https://youtu.be/1-44rrfu7kc?t=146s,outro_cta,aux,0,0.5,"On-screen text card (auto-detected: static frame, OCR text). Text reads: 'ae aa ea Pye Pre as rr 4 ae sae er We Ee yrs Ms ee 4 Ls 5 ZA! 4 Aa if Pt hd ay ga bs At Fi Cie ot 7 Ady Pe 4'.","On-screen text card (auto-detected: static frame, OCR text). Text reads: 'ae aa ea Pye Pre as rr 4 ae sae er We Ee yrs Ms ee 4 Ls 5 ZA! 4 Aa if Pt hd ay ga bs At Fi Cie ot 7 Ady Pe 4'. captioned, static shot, well-lit, brown palette (#916f40, #482c17). aux phase, ~90% in, 2:25–2:33.",ae aa ea Pye Pre as rr 4 ae sae er We Ee yrs Ms ee 4 Ls 5 ZA! 4 Aa if Pt hd ay ga bs At Fi Cie ot 7 Ady Pe 4,1,0.0,0.028,0.0,0.441,0.191,"#916f40,#482c17,#cfb897",0,text_overlay,
1-44rrfu7kc,https://www.youtube.com/watch?v=1-44rrfu7kc,Satisfying Candle Making Process |DIY Christmas Candle 🎄| Learn Candle Making at Home,162.0,storyboard,19,153.9,162.0,8.1,https://youtu.be/1-44rrfu7kc?t=154s,outro_cta,aux,0,0.5,"On-screen text card (auto-detected: static frame, OCR text). Text reads: 'ae aa ea Pye Pre as rr 4 ae sae er We Ee yrs Ms ee 4 Ls 5 ZA! 4 Aa if Pt hd ay ga bs At Fi Cie ot 7 Ady Pe 4'.","On-screen text card (auto-detected: static frame, OCR text). Text reads: 'ae aa ea Pye Pre as rr 4 ae sae er We Ee yrs Ms ee 4 Ls 5 ZA! 4 Aa if Pt hd ay ga bs At Fi Cie ot 7 Ady Pe 4'. captioned, static shot, well-lit, brown palette (#916f41, #482c17). aux phase, ~95% in, 2:33–2:42.",ae aa ea Pye Pre as rr 4 ae sae er We Ee yrs Ms ee 4 Ls 5 ZA! 4 Aa if Pt hd ay ga bs At Fi Cie ot 7 Ady Pe 4,1,0.0,0.028,0.0,0.441,0.191,"#916f41,#482c17,#cfb897",0,text_overlay,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,60,476.25,484.19,7.94,https://youtu.be/1V3hfxo7OtE?t=476s,outro_cta,aux,0,0.65,'THANK YOU!' end card,"'THANK YOU!' end card. Outro - subscribe call to action, end card, thanks for watching. captioned, steady, low-motion shot, dark, muted black palette (#000000, #000002). aux phase, ~94% in, 7:56–8:04.",OU Te LSS,1,0.0,0.015,0.118,0.06,0.028,"#000000,#000002,#020003",0,blank,
