video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
-dVj7BYicmQ,https://www.youtube.com/watch?v=-dVj7BYicmQ,Create your own custom-scented candle at The Candle Pour | Taste and See Tampa Bay,99.0,storyboard,0,0.0,8.25,8.25,https://youtu.be/-dVj7BYicmQ?t=0s,reveal_result,finish,1,0.4,Lit candle; caption 'Make custom-scented candle at The Candle Pour in Hyde Park'.,yee ba it 1 PRBS SISCe ESOS In ie be PAR,1,0.0,0.237,0.224,0.427,0.149,"#bba58c,#71564a,#321a13",1,,
-dVj7BYicmQ,https://www.youtube.com/watch?v=-dVj7BYicmQ,Create your own custom-scented candle at The Candle Pour | Taste and See Tampa Bay,99.0,storyboard,10,82.5,90.75,8.25,https://youtu.be/-dVj7BYicmQ?t=82s,reveal_result,finish,1,0.45,Caption 'Candles last about 60 burn hours'; lit candle.,oa SC OEISTER RE,1,0.0,0.202,0.304,0.493,0.106,"#2e1f18,#716651,#dacebb",1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,57,456.95,464.97,8.02,https://youtu.be/-pjWKo7zgrs?t=457s,reveal_result,finish,1,0.5,Finished sage & rose jesmonite candles shown.,2 tam,0,0.0,0.025,0.207,0.543,0.114,"#d0c8c2,#4c2f29,#907265",1,,
-qEby8J59DA,https://www.youtube.com/watch?v=-qEby8J59DA,6 Mistakes Candle Makers Should Avoid & How To Fix Them [Updated],758.0,storyboard,71,566.51,574.48,7.97,https://youtu.be/-qEby8J59DA?t=567s,reveal_result,finish,1,0.5,Lit finished candles shown.,aaa,0,1.0,0.065,0.293,0.355,0.189,"#1c1918,#453f3e,#ad5262",0,talking_head,
-qEby8J59DA,https://www.youtube.com/watch?v=-qEby8J59DA,6 Mistakes Candle Makers Should Avoid & How To Fix Them [Updated],758.0,storyboard,72,574.48,582.46,7.98,https://youtu.be/-qEby8J59DA?t=574s,reveal_result,finish,1,0.5,Lit finished candles shown.,aaa,0,1.0,0.067,0.0,0.233,0.197,"#27201f,#484647,#b55766",0,talking_head,
-qEby8J59DA,https://www.youtube.com/watch?v=-qEby8J59DA,6 Mistakes Candle Makers Should Avoid & How To Fix Them [Updated],758.0,storyboard,73,582.46,590.44,7.98,https://youtu.be/-qEby8J59DA?t=582s,reveal_result,finish,1,0.5,Lit finished candles shown.,eel 2 am. 3,1,1.0,0.07,0.287,0.365,0.189,"#7b8277,#9fa9a3,#205262",0,talking_head,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,72,577.45,585.47,8.02,https://youtu.be/0gk3NsmJa7k?t=577s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,be,0,0.0,0.265,0.225,0.524,0.069,"#4f4440,#ccb9a4,#8f8377",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,73,585.47,593.49,8.02,https://youtu.be/0gk3NsmJa7k?t=585s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,,0,0.5,0.16,0.253,0.518,0.07,"#c7bba9,#877d74,#4f4740",0,talking_head,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,74,593.49,601.52,8.03,https://youtu.be/0gk3NsmJa7k?t=593s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,ap Se oe 8 es Ss ao 3 oa,1,0.0,0.157,0.211,0.509,0.083,"#c3b3a1,#7e6b5a,#3f3127",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,75,601.52,609.54,8.02,https://youtu.be/0gk3NsmJa7k?t=602s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,"oS Sg, FG yr 4 2 ee tn",1,0.0,0.199,0.0,0.476,0.094,"#7b695c,#cab7a0,#3e2f2a",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,76,609.54,617.56,8.02,https://youtu.be/0gk3NsmJa7k?t=610s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,5 ee tee,1,0.0,0.249,0.249,0.498,0.078,"#c2b2a4,#7e706b,#3e3433",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,77,617.56,625.58,8.02,https://youtu.be/0gk3NsmJa7k?t=618s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,hk as,0,0.0,0.201,0.234,0.516,0.09,"#584538,#98806d,#ccbcb0",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,78,625.58,633.6,8.02,https://youtu.be/0gk3NsmJa7k?t=626s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,26 eo,0,0.0,0.204,0.217,0.526,0.061,"#c7b9ab,#766f68,#342f2c",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,79,633.6,641.62,8.02,https://youtu.be/0gk3NsmJa7k?t=634s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,22 Ba,0,0.0,0.464,0.0,0.467,0.051,"#7d6d6a,#bbaba4,#3c312b",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,80,641.62,649.64,8.02,https://youtu.be/0gk3NsmJa7k?t=642s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,8 eee FP 5 4 aE Aa,1,0.0,0.246,0.226,0.45,0.099,"#4c3b33,#8f786d,#d5b5a0",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,81,649.64,657.66,8.02,https://youtu.be/0gk3NsmJa7k?t=650s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,al 2 Pd 4 af bE tS ee. 7 Pe 2 ay we aaa mm. 2 My,1,0.0,0.244,0.18,0.48,0.084,"#857267,#af9a8d,#56463d",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,82,657.66,665.68,8.02,https://youtu.be/0gk3NsmJa7k?t=658s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,sa wr,0,0.0,0.459,0.199,0.475,0.071,"#79746b,#a8a196,#4d463c",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,83,665.68,673.7,8.02,https://youtu.be/0gk3NsmJa7k?t=666s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,8 SSE aay ae,1,0.0,0.356,0.0,0.441,0.11,"#81785a,#514233,#aea58f",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,84,673.7,681.72,8.02,https://youtu.be/0gk3NsmJa7k?t=674s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,"PF, sy oo",1,0.0,0.151,0.195,0.555,0.109,"#c1b9b7,#a09996,#686a6f",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,85,681.72,689.74,8.02,https://youtu.be/0gk3NsmJa7k?t=682s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,te io EN.,1,0.5,0.028,0.144,0.654,0.091,"#cdc7c3,#98908a,#485d73",0,talking_head,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,86,689.74,697.76,8.02,https://youtu.be/0gk3NsmJa7k?t=690s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,ss be,0,0.0,0.047,0.152,0.617,0.077,"#bdb6b7,#928383,#524243",1,,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,26,207.32,215.29,7.97,https://youtu.be/0pqimQlf8tQ?t=207s,reveal_result,finish,1,0.45,Finished jar candles shown.,"ll iil Dg, if ee it ia ie",1,0.0,0.336,0.162,0.519,0.106,"#cdccc0,#553f39,#988f84",1,,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,27,215.29,223.26,7.97,https://youtu.be/0pqimQlf8tQ?t=215s,reveal_result,finish,1,0.45,Finished jar candles shown.,"yy FEO Aly, LT, Oe Tie Ro 2 nak! ii ie",1,0.0,0.461,0.049,0.549,0.099,"#56433e,#cbcbc2,#999287",1,,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,28,223.26,231.24,7.98,https://youtu.be/0pqimQlf8tQ?t=223s,reveal_result,finish,1,0.45,Finished jar candles shown.,tn ea Oly Dig ome Lane 11 tae fl nq Ye roere oz ie,1,0.0,0.393,0.038,0.536,0.116,"#553b36,#cfcabf,#978c81",1,,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,29,231.24,239.21,7.97,https://youtu.be/0pqimQlf8tQ?t=231s,reveal_result,finish,1,0.45,Finished jar candles shown.,5 frye if rt ie be tip fi ih rad Rise,1,0.0,0.394,0.047,0.547,0.107,"#534039,#cecec6,#9c948b",1,,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,30,239.21,247.18,7.97,https://youtu.be/0pqimQlf8tQ?t=239s,reveal_result,finish,1,0.45,Finished jar candles shown.,Te Pee eet aL ae Lee gl Tl Rye,1,0.0,0.387,0.048,0.55,0.103,"#53403a,#9e968b,#d0d0c7",1,,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,31,247.18,255.16,7.98,https://youtu.be/0pqimQlf8tQ?t=247s,reveal_result,finish,1,0.45,Finished jar candles shown.,Seas UL ho,1,0.0,0.204,0.547,0.274,0.055,"#000000,#040102,#080709",1,,
