video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
-dVj7BYicmQ,https://www.youtube.com/watch?v=-dVj7BYicmQ,Create your own custom-scented candle at The Candle Pour | Taste and See Tampa Bay,99.0,storyboard,1,8.25,16.5,8.25,https://youtu.be/-dVj7BYicmQ?t=8s,transition,aux,0,0.4,'it's lit' card over the candle store.,,0,0.0,0.179,0.228,0.481,0.113,"#8c7e75,#a89d97,#eee5e2",1,,description references on-screen text but OCR found none
-dVj7BYicmQ,https://www.youtube.com/watch?v=-dVj7BYicmQ,Create your own custom-scented candle at The Candle Pour | Taste and See Tampa Bay,99.0,storyboard,2,16.5,24.75,8.25,https://youtu.be/-dVj7BYicmQ?t=16s,transition,aux,0,0.4,Caption 'Choose from more than 120 scents'; rows of candle jars.,bef,0,0.333,0.153,0.281,0.509,0.121,"#aea095,#6e6158,#1e120e",1,,description references on-screen text but OCR found none
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,39,312.65,320.67,8.02,https://youtu.be/-pjWKo7zgrs?t=313s,transition,aux,0,0.6,'Candle making' card.,"hed Te Dy TT li Pa Wf MH ihny 1 Pua if diameter ts 3.5 id Mf fe suppliers wick guide to Bh wick, Taeee see po: had at home go I'll be",1,0.0,0.062,0.407,0.753,0.105,"#c5c1ba,#9b8c7d,#3c3d32",1,,
-qEby8J59DA,https://www.youtube.com/watch?v=-qEby8J59DA,6 Mistakes Candle Makers Should Avoid & How To Fix Them [Updated],758.0,storyboard,8,63.83,71.81,7.98,https://youtu.be/-qEby8J59DA?t=64s,transition,aux,0,0.4,Handwritten fragrance-ratio diagram (~1 oz fragrance oil per 1 lb / 1 tin of wax).,2 he th aes 1 wink,1,0.0,0.057,0.004,0.123,0.021,"#1d1e1e,#2b3333,#5b696a",1,,
0ERh-nj5jjw,https://www.youtube.com/watch?v=0ERh-nj5jjw,how to measure candle wax for the perfect candle pour ⚖️,117.0,storyboard,3,23.4,31.2,7.8,https://youtu.be/0ERh-nj5jjw?t=23s,transition,aux,0,0.4,Jar spec product-page screenshot.,,0,0.0,0.063,0.214,0.847,0.037,"#fbfbfb,#e4e4e4,#949698",1,,
0ERh-nj5jjw,https://www.youtube.com/watch?v=0ERh-nj5jjw,how to measure candle wax for the perfect candle pour ⚖️,117.0,storyboard,4,31.2,39.0,7.8,https://youtu.be/0ERh-nj5jjw?t=31s,transition,aux,0,0.4,Product spec screenshot.,rs,0,0.0,0.118,0.168,0.76,0.063,"#e2ddd5,#9e9380,#594c38",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,87,697.76,705.78,8.02,https://youtu.be/0gk3NsmJa7k?t=698s,transition,aux,0,0.6,Snowy winter-forest b-roll.,"at gt De Pe, WO eee Se eee, ies: ey ea hd eet FL aS Fay 7 Cie res 4 Ma Ee hist YSN BRIE seh ie vy. 5 ye, By ts Tas 4 Vy WO ae he ley Me? oi ie as Sig 2 Ge oe it eit yt See ee",1,0.0,0.032,0.06,0.645,0.038,"#9ba1b1,#b4bacb,#7e8494",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,88,705.78,713.8,8.02,https://youtu.be/0gk3NsmJa7k?t=706s,transition,aux,0,0.6,Snowy winter-forest b-roll.,"ee Re eS Lorestan be eT DR eae ee ers ee hy 1 Pera sf ay 4 er, ory Se ge eg 4 SS, Smee et te tpt hia igo eae rat on cy See... fo CAS Best Ope eee SE SAY ames ie en fa Sh. 8 rr tas law Mio ASS eS 2 oa ",1,0.0,0.075,0.0,0.646,0.038,"#979eaf,#b2b9c9,#79818f",0,text_overlay,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,89,713.8,721.82,8.02,https://youtu.be/0gk3NsmJa7k?t=714s,transition,aux,0,0.6,Snowy winter-forest b-roll.,"Ne 7 es ote sd de tAs an od 7 9 oni, ria",1,0.0,0.043,0.274,0.59,0.031,"#8e959b,#4f535b,#64686f",1,,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,32,255.16,263.13,7.97,https://youtu.be/0pqimQlf8tQ?t=255s,transition,aux,0,0.5,Blank / near-black frame (auto-detected).,,0,0.0,0.0,0.0,0.001,0.004,"#000000,#030102,#080709",0,blank,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,33,263.13,271.11,7.98,https://youtu.be/0pqimQlf8tQ?t=263s,transition,aux,0,0.5,Blank / near-black frame (auto-detected).,,0,0.0,0.0,0.0,0.001,0.004,"#000000,#020102,#080709",0,blank,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,34,271.11,279.08,7.97,https://youtu.be/0pqimQlf8tQ?t=271s,transition,aux,0,0.5,Blank / near-black frame (auto-detected).,,0,0.0,0.0,0.0,0.001,0.004,"#000000,#020102,#080709",0,blank,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,35,279.08,287.05,7.97,https://youtu.be/0pqimQlf8tQ?t=279s,transition,aux,0,0.5,Blank / near-black frame (auto-detected).,,0,0.0,0.0,0.0,0.001,0.004,"#000000,#020102,#080709",0,blank,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,36,287.05,295.03,7.98,https://youtu.be/0pqimQlf8tQ?t=287s,transition,aux,0,0.5,Blank / near-black frame (auto-detected).,,0,0.0,0.0,0.0,0.001,0.004,"#000000,#020101,#080709",0,blank,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,37,295.03,303.0,7.97,https://youtu.be/0pqimQlf8tQ?t=295s,transition,aux,0,0.5,Blank / near-black frame (auto-detected).,,0,0.0,0.0,0.0,0.001,0.004,"#000000,#020001,#080708",0,blank,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,63,502.22,510.19,7.97,https://youtu.be/0tS8V3Gj9C0?t=502s,transition,aux,0,0.6,City / outdoor market / thrift b-roll.,"ie sae eA rvar-&, Sete 5 AX nd oes Lf ah, it 2. Zz 7 ihe rs 7 ae ie ry",1,0.0,0.064,0.0,0.429,0.201,"#3d6596,#4d4a42,#b9acad",0,text_overlay,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,64,510.19,518.16,7.97,https://youtu.be/0tS8V3Gj9C0?t=510s,transition,aux,0,0.6,City / outdoor market / thrift b-roll.,"Sir Sd 2 thy bel yt 4 we bad OSs ioe oN Phe ne es itn ead ther, Pius ro 5 1 ot 13 Py Le cee fo ewe Do af oi Ny eal ye 7 Yessubae: this ae",1,0.0,0.154,0.263,0.468,0.158,"#38363d,#738097,#babcbb",1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,65,518.16,526.13,7.97,https://youtu.be/0tS8V3Gj9C0?t=518s,transition,aux,0,0.6,City / outdoor market / thrift b-roll.,"wh ae 9 SS uRBsAn Ay 1 ar poh ye ae is sh fo we af ff eee Bt Soo HES as-tep ZA RY Browsed, But didn pick up anything this tiene syre.",1,0.0,0.245,0.0,0.558,0.116,"#848aa4,#ccd1d3,#4a4b53",0,text_overlay,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,66,526.13,534.1,7.97,https://youtu.be/0tS8V3Gj9C0?t=526s,transition,aux,0,0.6,City / outdoor market / thrift b-roll.,cn ik 4,0,0.5,0.083,0.096,0.329,0.131,"#151618,#bbb59f,#666366",0,talking_head,
