video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,52,412.75,420.69,7.94,https://youtu.be/1V3hfxo7OtE?t=413s,trim_wick,finish,1,0.6,'Cut the Wick' title card,"'Cut the Wick' title card. captioned, static shot, dark, muted black/cream palette (#000000, #e4e4e4). finish phase, ~81% in, 6:52–7:00.",Cut the Wick,1,0.0,0.045,0.0,0.015,0.002,"#000000,#e4e4e4,#7e7e7e",0,blank,active label 'trim_wick' on a near-black frame
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,53,420.69,428.62,7.93,https://youtu.be/1V3hfxo7OtE?t=421s,trim_wick,finish,1,0.55,two hosts trimming wicks on candles,"two hosts trimming wicks on candles. static shot, well-lit, amber/brown palette (#b3865c, #5e5245). finish phase, ~83% in, 7:00–7:08.",29 ms 2,0,0.0,0.04,0.027,0.541,0.224,"#b3865c,#5e5245,#bfc1bd",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,54,428.62,436.56,7.94,https://youtu.be/1V3hfxo7OtE?t=429s,trim_wick,finish,1,0.55,two hosts trimming wicks,"two hosts trimming wicks. captioned, static shot, well-lit, amber/brown palette (#b0835a, #595044). finish phase, ~84% in, 7:08–7:16.",3 fi fi mm. el,1,0.0,0.035,0.038,0.536,0.223,"#b0835a,#595044,#bfc1bc",1,,
E27yUdPTNEU,https://www.youtube.com/watch?v=E27yUdPTNEU,How To Make Perfect Dipped Beeswax Taper Candles (In An Old Tin Can),245.0,storyboard,21,165.97,173.87,7.9,https://youtu.be/E27yUdPTNEU?t=166s,trim_wick,finish,1,0.4,Wick ends trimmed/cut on the dipped tapers.,"Wick ends trimmed/cut on the dipped tapers. captioned, moderate on-screen movement, dim, muted black/brown palette (#24251e, #57594e). finish phase, ~68% in, 2:45–2:53.","ze. needed decp COMaDS too, oe",1,0.0,0.187,0.229,0.356,0.123,"#24251e,#57594e,#c6b9b5",1,,
EBZGgxpf3Ho,https://www.youtube.com/watch?v=EBZGgxpf3Ho,How to make perfect scented soy wax tin candles every time. DIY tutorial 7oz coco soy wax candles,667.0,storyboard,65,522.35,530.39,8.04,https://youtu.be/EBZGgxpf3Ho?t=522s,trim_wick,finish,1,0.5,Trimming the wicks.,"Trimming the wicks. Trimming the wick to the correct length on the set candle. static shot, well-lit, muted grey/black palette (#898a97, #302c30). finish phase, ~78% in, 8:42–8:50.",,0,0.0,0.007,0.0,0.533,0.068,"#898a97,#302c30,#d8e8f0",1,,
EBZGgxpf3Ho,https://www.youtube.com/watch?v=EBZGgxpf3Ho,How to make perfect scented soy wax tin candles every time. DIY tutorial 7oz coco soy wax candles,667.0,storyboard,66,530.39,538.42,8.03,https://youtu.be/EBZGgxpf3Ho?t=530s,trim_wick,finish,1,0.5,Trimming the wicks.,"Trimming the wicks. Trimming the wick to the correct length on the set candle. moderate on-screen movement, well-lit, muted grey/cream palette (#84858d, #cdcfda). finish phase, ~80% in, 8:50–8:58.",Ge.,0,0.0,0.015,0.155,0.542,0.065,"#84858d,#cdcfda,#322d31",1,,
EBZGgxpf3Ho,https://www.youtube.com/watch?v=EBZGgxpf3Ho,How to make perfect scented soy wax tin candles every time. DIY tutorial 7oz coco soy wax candles,667.0,storyboard,67,538.42,546.46,8.04,https://youtu.be/EBZGgxpf3Ho?t=538s,trim_wick,finish,1,0.5,Trimming the wicks.,"Trimming the wicks. Trimming the wick to the correct length on the set candle. moderate on-screen movement, well-lit, muted beige/cream palette (#a8a2ae, #cfbfcf). finish phase, ~81% in, 8:58–9:06.",,0,0.0,0.003,0.214,0.61,0.071,"#a8a2ae,#cfbfcf,#846f7e",1,,
GAh9lQmaEvI,https://www.youtube.com/watch?v=GAh9lQmaEvI,How to make scented candles at home step by step,135.0,storyboard,15,119.12,127.06,7.94,https://youtu.be/GAh9lQmaEvI?t=119s,trim_wick,finish,1,0.5,'Trim the wick' + finished candles,"'Trim the wick' + finished candles. captioned, static shot, bright, cream/beige palette (#c5cec6, #b9c1ba). finish phase, ~88% in, 1:59–2:07.",LINKS Yarstuss Vigsos TUTORIALS TIPS HOW TO,1,0.0,0.017,0.042,0.736,0.158,"#c5cec6,#b9c1ba,#101eb0",1,,
Ktz5Q9udtXY,https://www.youtube.com/watch?v=Ktz5Q9udtXY,How to Make Essential Oil Candles | DIY Candle Making Tutorial,316.0,storyboard,30,237.0,244.9,7.9,https://youtu.be/Ktz5Q9udtXY?t=237s,trim_wick,finish,1,0.5,The wooden wick is trimmed with scissors on a set candle.,"The wooden wick is trimmed with scissors on a set candle. moderate on-screen movement, well-lit, muted grey/brown palette (#87746d, #472e2b). finish phase, ~75% in, 3:57–4:04.",vs as,0,0.0,0.169,0.197,0.471,0.096,"#87746d,#472e2b,#bfb3aa",1,,
LiLrIjz_2ac,https://www.youtube.com/watch?v=LiLrIjz_2ac,Beginners Guide - How to Make a Scented Candle at Home,211.0,storyboard,20,162.31,170.42,8.11,https://youtu.be/LiLrIjz_2ac?t=162s,trim_wick,finish,1,0.5,The wick is trimmed on the set candle; greenery in frame.,"The wick is trimmed on the set candle; greenery in frame. steady, low-motion shot, well-lit, pink/purple palette (#e39b91, #63599a). finish phase, ~77% in, 2:42–2:50.",oJ,0,0.0,0.043,0.137,0.607,0.192,"#e39b91,#63599a,#faf9f9",1,,
RwLOuuMSrWE,https://www.youtube.com/watch?v=RwLOuuMSrWE,CANDLE MAKING FOR BEGINNERS | How To Make Woodwick Candles,423.0,storyboard,41,327.23,335.21,7.98,https://youtu.be/RwLOuuMSrWE?t=327s,trim_wick,finish,1,0.5,The wooden wick is trimmed with scissors.,"The wooden wick is trimmed with scissors. steady, low-motion shot, well-lit, muted grey/beige palette (#8c8984, #bfc2c0). finish phase, ~77% in, 5:27–5:35.",ia ame,0,0.5,0.111,0.098,0.568,0.077,"#8c8984,#bfc2c0,#645346",0,talking_head,
ToGNCotyDeE,https://www.youtube.com/watch?v=ToGNCotyDeE,How to Make Candles With ToAuto New 15L Wax Melting Furnace - Start Your Candle Business Easily,246.0,storyboard,4,31.74,39.68,7.94,https://youtu.be/ToGNCotyDeE?t=32s,trim_wick,finish,1,0.4,Trimming wicks on the set candles.,"Trimming wicks on the set candles. captioned, moderate on-screen movement, well-lit, muted black/cream palette (#35373b, #c3dbdc). finish phase, ~13% in, 0:31–0:39.",ex ToAuto,1,0.0,0.08,0.283,0.443,0.106,"#35373b,#c3dbdc,#b78e7e",1,,
ToGNCotyDeE,https://www.youtube.com/watch?v=ToGNCotyDeE,How to Make Candles With ToAuto New 15L Wax Melting Furnace - Start Your Candle Business Easily,246.0,storyboard,9,71.42,79.35,7.93,https://youtu.be/ToGNCotyDeE?t=71s,trim_wick,finish,1,0.4,Trimming wicks on the set candles.,"Trimming wicks on the set candles. captioned, moderate on-screen movement, well-lit, muted brown/grey palette (#4a443e, #a9968c). finish phase, ~29% in, 1:11–1:19.",Pas 74 7 7. oo Vico peurtapapint ome wv... Ey sa oyatsa,1,0.0,0.071,0.242,0.535,0.127,"#4a443e,#a9968c,#d0cccb",1,,
ToGNCotyDeE,https://www.youtube.com/watch?v=ToGNCotyDeE,How to Make Candles With ToAuto New 15L Wax Melting Furnace - Start Your Candle Business Easily,246.0,storyboard,14,111.1,119.03,7.93,https://youtu.be/ToGNCotyDeE?t=111s,trim_wick,finish,1,0.4,Trimming wicks on the set candles.,"Trimming wicks on the set candles. steady, low-motion shot, well-lit, muted cream/black palette (#ddccc5, #3a2d23). finish phase, ~45% in, 1:51–1:59.",4 SS,0,0.0,0.125,0.11,0.508,0.109,"#ddccc5,#3a2d23,#907b74",1,,
ToGNCotyDeE,https://www.youtube.com/watch?v=ToGNCotyDeE,How to Make Candles With ToAuto New 15L Wax Melting Furnace - Start Your Candle Business Easily,246.0,storyboard,19,150.77,158.71,7.94,https://youtu.be/ToGNCotyDeE?t=151s,trim_wick,finish,1,0.4,Trimming wicks on the set candles.,"Trimming wicks on the set candles. steady, low-motion shot, bright, muted white/beige palette (#ecece2, #ccbaa6). finish phase, ~61% in, 2:30–2:38.",ods,0,0.0,0.019,0.084,0.838,0.101,"#ecece2,#ccbaa6,#9c7f75",1,,
ToGNCotyDeE,https://www.youtube.com/watch?v=ToGNCotyDeE,How to Make Candles With ToAuto New 15L Wax Melting Furnace - Start Your Candle Business Easily,246.0,storyboard,24,190.45,198.39,7.94,https://youtu.be/ToGNCotyDeE?t=190s,trim_wick,finish,1,0.4,Trimming wicks on the set candles.,"Trimming wicks on the set candles. captioned, steady, low-motion shot, well-lit, muted cream/grey palette (#ced0d0, #9e9381). finish phase, ~77% in, 3:10–3:18.",tg Fy oud Ay,1,0.0,0.072,0.071,0.581,0.083,"#ced0d0,#9e9381,#333334",1,,
V50SgBW1bRM,https://www.youtube.com/watch?v=V50SgBW1bRM,🔥 Watch Me Make Luxury Pillar Candles! | Get My Exact Recipe in the Ultimate Candle-Making eBook! 🔥,546.0,storyboard,12,96.35,104.38,8.03,https://youtu.be/V50SgBW1bRM?t=96s,trim_wick,finish,1,0.4,Trimming the wicks on the pillars.,"Trimming the wicks on the pillars. static shot, well-lit, beige/black palette (#c09985, #2e2f32). finish phase, ~18% in, 1:36–1:44.","jm, ie",0,0.0,0.05,0.0,0.435,0.203,"#c09985,#2e2f32,#736658",1,,
V50SgBW1bRM,https://www.youtube.com/watch?v=V50SgBW1bRM,🔥 Watch Me Make Luxury Pillar Candles! | Get My Exact Recipe in the Ultimate Candle-Making eBook! 🔥,546.0,storyboard,18,144.53,152.56,8.03,https://youtu.be/V50SgBW1bRM?t=145s,trim_wick,finish,1,0.4,Trimming the wicks on the pillars.,"Trimming the wicks on the pillars. captioned, static shot, well-lit, beige/grey palette (#cbb9a6, #8d7058). finish phase, ~26% in, 2:24–2:32.","7 dg 7 av Ss roe Pe. SIS ee ee iA Fs, ie oe 7 Me one Pg 4",1,0.0,0.047,0.041,0.511,0.189,"#cbb9a6,#8d7058,#2f2a27",1,,
Vsd8r7uSDII,https://www.youtube.com/watch?v=Vsd8r7uSDII,How To Make A Wooden Wick Candle | Luxury Candle Making,288.0,storyboard,31,248.0,256.0,8.0,https://youtu.be/Vsd8r7uSDII?t=248s,trim_wick,finish,1,0.5,Hands trim the wooden wick on the set candle.,"Hands trim the wooden wick on the set candle. moderate on-screen movement, well-lit, muted grey/beige palette (#887666, #ccc5b8). finish phase, ~86% in, 4:08–4:16.",4 wf,0,0.0,0.081,0.185,0.481,0.111,"#887666,#ccc5b8,#222621",1,,
YspjuWix8TM,https://www.youtube.com/watch?v=YspjuWix8TM,DIY LUXURY CANDLES | STEP BY STEP CANDLE MAKING,483.0,storyboard,24,193.2,201.25,8.05,https://youtu.be/YspjuWix8TM?t=193s,trim_wick,finish,1,0.5,Trimming the multi-wicks on the candle.,"Trimming the multi-wicks on the candle. static shot, dim, muted black/grey palette (#2b1f1b, #9b9b9b). finish phase, ~40% in, 3:13–3:21.",,0,0.0,0.003,0.0,0.376,0.062,"#2b1f1b,#9b9b9b,#70685f",1,,
YspjuWix8TM,https://www.youtube.com/watch?v=YspjuWix8TM,DIY LUXURY CANDLES | STEP BY STEP CANDLE MAKING,483.0,storyboard,25,201.25,209.3,8.05,https://youtu.be/YspjuWix8TM?t=201s,trim_wick,finish,1,0.5,Torch-finishing & labelling the candle.,"Torch-finishing & labelling the candle. static shot, well-lit, muted grey palette (#9aa3ac, #8f8675). finish phase, ~42% in, 3:21–3:29.",,0,0.0,0.0,0.017,0.539,0.08,"#9aa3ac,#8f8675,#5d574f",1,,
YspjuWix8TM,https://www.youtube.com/watch?v=YspjuWix8TM,DIY LUXURY CANDLES | STEP BY STEP CANDLE MAKING,483.0,storyboard,26,209.3,217.35,8.05,https://youtu.be/YspjuWix8TM?t=209s,trim_wick,finish,1,0.5,Trimming the multi-wicks on the candle.,"Trimming the multi-wicks on the candle. moderate on-screen movement, well-lit, muted grey palette (#726a60, #91979a). finish phase, ~43% in, 3:29–3:37.",,0,0.0,0.003,0.216,0.451,0.111,"#726a60,#91979a,#201716",1,,
bEhlvggbwk8,https://www.youtube.com/watch?v=bEhlvggbwk8,Wick Candle Maker by We R Memory Keepers,82.0,storyboard,7,57.4,65.6,8.2,https://youtu.be/bEhlvggbwk8?t=57s,trim_wick,finish,1,0.5,A teal candle cup is held and the wooden/cotton wick trimmed with scissors.,"A teal candle cup is held and the wooden/cotton wick trimmed with scissors. moderate on-screen movement, bright, muted cream/grey palette (#dddee2, #877370). finish phase, ~70% in, 0:57–1:05.",,0,0.0,0.016,0.173,0.864,0.07,"#dddee2,#877370,#abbabd",1,,
ejlyZKwVMU8,https://www.youtube.com/watch?v=ejlyZKwVMU8,HOW TO MAKE WOODEN WICK SCENTED CANDLE | SOY WAX VANILLA SANDAL CANDLE DIY,117.0,storyboard,12,93.6,101.4,7.8,https://youtu.be/ejlyZKwVMU8?t=94s,trim_wick,finish,1,0.55,Caption 'cut unnecessary part of the wick'; the wooden wick is trimmed on the set candle.,"Caption 'cut unnecessary part of the wick'; the wooden wick is trimmed on the set candle. steady, low-motion shot, well-lit, muted beige/grey palette (#bab9b6, #8d857f). finish phase, ~80% in, 1:33–1:41.",Pe,0,0.0,0.072,0.08,0.57,0.073,"#bab9b6,#8d857f,#5a4c44",1,,description references on-screen text but OCR found none
nVrWdGYHQkc,https://www.youtube.com/watch?v=nVrWdGYHQkc,Easy DIY Candle Making Tutorial for Beginners || Step-By-Step Guide || GIVEAWAY OVER,511.0,storyboard,55,439.14,447.12,7.98,https://youtu.be/nVrWdGYHQkc?t=439s,trim_wick,finish,1,0.5,Trimming the wick on the set candle.,"Trimming the wick on the set candle. captioned, static shot, well-lit, cream/black palette (#dacfc0, #231d1f). finish phase, ~86% in, 7:19–7:27.",Hu 4 Ove rg,1,0.0,0.084,0.0,0.546,0.162,"#dacfc0,#231d1f,#9b745e",1,,
tUXkZFNUQXI,https://www.youtube.com/watch?v=tUXkZFNUQXI,How I Make Our #1 Bestselling Market Tins | Full Recipe Included,364.0,storyboard,6,47.48,55.39,7.91,https://youtu.be/tUXkZFNUQXI?t=47s,trim_wick,finish,1,0.45,Trimming wicks on the set tin candles.,"Trimming wicks on the set tin candles. static shot, well-lit, muted beige/brown palette (#b6aeaa, #483e21). finish phase, ~13% in, 0:47–0:55.",,0,0.0,0.011,0.0,0.482,0.14,"#b6aeaa,#483e21,#7e7359",1,,
tUXkZFNUQXI,https://www.youtube.com/watch?v=tUXkZFNUQXI,How I Make Our #1 Bestselling Market Tins | Full Recipe Included,364.0,storyboard,10,79.13,87.04,7.91,https://youtu.be/tUXkZFNUQXI?t=79s,trim_wick,finish,1,0.45,Trimming wicks on the set tin candles.,"Trimming wicks on the set tin candles. static shot, well-lit, beige/brown palette (#ccbdae, #5e4920). finish phase, ~22% in, 1:19–1:27.",,0,0.0,0.006,0.0,0.553,0.151,"#ccbdae,#5e4920,#8d7b67",1,,
tUXkZFNUQXI,https://www.youtube.com/watch?v=tUXkZFNUQXI,How I Make Our #1 Bestselling Market Tins | Full Recipe Included,364.0,storyboard,14,110.78,118.7,7.92,https://youtu.be/tUXkZFNUQXI?t=111s,trim_wick,finish,1,0.45,Trimming wicks on the set tin candles.,"Trimming wicks on the set tin candles. static shot, well-lit, muted beige/grey palette (#cab8a2, #97836a). finish phase, ~30% in, 1:50–1:58.",,0,0.0,0.011,0.0,0.529,0.121,"#cab8a2,#97836a,#554523",1,,
tUXkZFNUQXI,https://www.youtube.com/watch?v=tUXkZFNUQXI,How I Make Our #1 Bestselling Market Tins | Full Recipe Included,364.0,storyboard,22,174.09,182.0,7.91,https://youtu.be/tUXkZFNUQXI?t=174s,trim_wick,finish,1,0.45,Trimming wicks on the set tin candles.,"Trimming wicks on the set tin candles. static shot, well-lit, beige/brown palette (#c3a88c, #7f633f). finish phase, ~48% in, 2:54–3:02.",,0,0.0,0.006,0.0,0.496,0.162,"#c3a88c,#7f633f,#2c2b29",1,,
tUXkZFNUQXI,https://www.youtube.com/watch?v=tUXkZFNUQXI,How I Make Our #1 Bestselling Market Tins | Full Recipe Included,364.0,storyboard,26,205.74,213.65,7.91,https://youtu.be/tUXkZFNUQXI?t=206s,trim_wick,finish,1,0.45,Trimming wicks on the set tin candles.,"Trimming wicks on the set tin candles. captioned, steady, low-motion shot, well-lit, beige/grey palette (#c7b090, #a08966). finish phase, ~57% in, 3:25–3:33.",Vowal al 1 c'e,1,0.0,0.018,0.125,0.502,0.155,"#c7b090,#a08966,#4d4024",1,,
tUXkZFNUQXI,https://www.youtube.com/watch?v=tUXkZFNUQXI,How I Make Our #1 Bestselling Market Tins | Full Recipe Included,364.0,storyboard,30,237.39,245.3,7.91,https://youtu.be/tUXkZFNUQXI?t=237s,trim_wick,finish,1,0.45,Trimming wicks on the set tin candles.,"Trimming wicks on the set tin candles. steady, low-motion shot, well-lit, beige/grey palette (#c2a988, #857357). finish phase, ~65% in, 3:57–4:05.",et ae,0,0.0,0.026,0.138,0.513,0.152,"#c2a988,#857357,#473b23",1,,
tUXkZFNUQXI,https://www.youtube.com/watch?v=tUXkZFNUQXI,How I Make Our #1 Bestselling Market Tins | Full Recipe Included,364.0,storyboard,34,269.04,276.96,7.92,https://youtu.be/tUXkZFNUQXI?t=269s,trim_wick,finish,1,0.45,Trimming wicks on the set tin candles.,"Trimming wicks on the set tin candles. moderate on-screen movement, well-lit, muted beige/brown palette (#c5a78f, #8a6347). finish phase, ~74% in, 4:29–4:36.",,0,0.0,0.009,0.241,0.529,0.133,"#c5a78f,#8a6347,#331e14",1,,
tUXkZFNUQXI,https://www.youtube.com/watch?v=tUXkZFNUQXI,How I Make Our #1 Bestselling Market Tins | Full Recipe Included,364.0,storyboard,38,300.7,308.61,7.91,https://youtu.be/tUXkZFNUQXI?t=301s,trim_wick,finish,1,0.45,Trimming wicks on the set tin candles.,"Trimming wicks on the set tin candles. captioned, moderate on-screen movement, well-lit, brown/grey palette (#3b4042, #957d66). finish phase, ~83% in, 5:00–5:08.",Le Sees PF Saal,1,0.0,0.017,0.235,0.454,0.151,"#3b4042,#957d66,#cfb3a0",1,,
vnL7IzFaKUY,https://www.youtube.com/watch?v=vnL7IzFaKUY,What is candle frosting and how to prevent it? | Soy Candles,299.0,storyboard,30,242.43,250.51,8.08,https://youtu.be/vnL7IzFaKUY?t=242s,trim_wick,finish,1,0.4,Scissors trim the wooden wick on the candle.,"Scissors trim the wooden wick on the candle. captioned, steady, low-motion shot, well-lit, beige/amber palette (#c9b495, #a88267). finish phase, ~81% in, 4:02–4:10.",4 aes ws,1,0.0,0.02,0.096,0.556,0.156,"#c9b495,#a88267,#6d4628",1,,
