video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,3,23.81,31.75,7.94,https://youtu.be/1V3hfxo7OtE?t=24s,gather_materials,prep,1,0.65,'Materials' title card + overhead supplies,ae ha if Pe 7 be Joe KCAL eZ alt ae re pe 44 te Se FEST ny. oe ee,1,0.0,0.027,0.521,0.268,0.086,"#9c7c61,#c2bfb9,#483b36",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,6,47.62,55.56,7.94,https://youtu.be/1V3hfxo7OtE?t=48s,measure_wax,prep,1,0.5,overhead measuring,pare on fr ya Ve oe os ee le ray fF fa SS an 4 ou uit on he. 5 ai ge ra 4 pom 4 Be 4,1,0.0,0.042,0.063,0.498,0.185,"#a1785a,#533f35,#c0b9b5",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,10,79.38,87.31,7.93,https://youtu.be/1V3hfxo7OtE?t=79s,measure_wax,prep,1,0.5,overhead bench work,"ae it OO 2 yy, Ps iY ry rr in yw 4 ae aC",1,0.0,0.033,0.037,0.5,0.183,"#a27b5b,#4a3e38,#c5c2bf",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,21,166.69,174.62,7.93,https://youtu.be/1V3hfxo7OtE?t=167s,measure_wax,prep,1,0.5,overhead measuring,ne YW SS Ly PS,1,0.0,0.042,0.099,0.541,0.179,"#ad8b6e,#685042,#c0bbb7",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,22,174.62,182.56,7.94,https://youtu.be/1V3hfxo7OtE?t=175s,measure_wax,prep,1,0.5,overhead hands with bowl,my ahs 4 ro,1,0.0,0.025,0.114,0.527,0.176,"#b38a66,#715743,#b0b4bf",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,23,182.56,190.5,7.94,https://youtu.be/1V3hfxo7OtE?t=183s,add_fragrance,process,1,0.45,overhead adding scent,,0,0.0,0.017,0.0,0.523,0.182,"#b28862,#6c5340,#b0b9c6",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,24,190.5,198.44,7.94,https://youtu.be/1V3hfxo7OtE?t=190s,add_fragrance,process,1,0.45,overhead bench work,,0,0.0,0.013,0.085,0.524,0.186,"#b68a63,#604f47,#b0b8c6",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,25,198.44,206.38,7.94,https://youtu.be/1V3hfxo7OtE?t=198s,add_fragrance,process,1,0.45,overhead adding scent,ak 7. Whe,1,0.0,0.027,0.06,0.516,0.191,"#ac835e,#493d3e,#b0b5c5",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,26,206.38,214.31,7.93,https://youtu.be/1V3hfxo7OtE?t=206s,add_fragrance,process,1,0.5,overhead hands with bottle,,0,0.0,0.015,0.016,0.522,0.197,"#b58861,#5b4944,#b9b4bc",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,27,214.31,222.25,7.94,https://youtu.be/1V3hfxo7OtE?t=214s,add_fragrance,process,1,0.45,overhead bench work,he 4 Co.,1,0.0,0.031,0.0,0.522,0.201,"#b38761,#473f43,#bdb8ba",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,28,222.25,230.19,7.94,https://youtu.be/1V3hfxo7OtE?t=222s,measure_wax,prep,1,0.45,overhead bench work,,0,0.0,0.013,0.049,0.521,0.198,"#b38862,#584844,#b7b4bc",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,29,230.19,238.12,7.93,https://youtu.be/1V3hfxo7OtE?t=230s,measure_wax,prep,1,0.45,overhead hand,sd Moe MUO TTT Tr AMAL ss ii- ae So Bl fA be ef WS eu ae as,1,0.0,0.114,0.432,0.227,0.052,"#7a706d,#363031,#b8aca4",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,30,238.12,246.06,7.94,https://youtu.be/1V3hfxo7OtE?t=238s,melt_wax,process,1,0.65,'Melt the Wax' card + pot on stove,MTT Hunn Cae zs rT pe,1,0.0,0.184,0.0,0.427,0.069,"#312b2d,#b2aca1,#706c68",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,31,246.06,254.0,7.94,https://youtu.be/1V3hfxo7OtE?t=246s,melt_wax,process,1,0.65,pot melting on stove,Prep the Containers,1,0.0,0.127,0.416,0.223,0.038,"#000000,#e9e9e9,#6a6a6a",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,33,261.94,269.88,7.94,https://youtu.be/1V3hfxo7OtE?t=262s,prepare_container,prep,1,0.65,'Prep the Containers' title card,,0,0.0,0.012,0.0,0.529,0.17,"#a6805b,#916942,#b9c0d0",1,,description references on-screen text but OCR found none
