video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
BbGnbTIz7_s,https://www.youtube.com/watch?v=BbGnbTIz7_s,Ombre 5 layers gradient candle tutorial | Step by step | Advanced candle making | POV (no talking),505.0,storyboard,21,168.33,176.35,8.02,https://youtu.be/BbGnbTIz7_s?t=168s,cure_cool,assemble,1,0.45,Mould with the first layer; 'not ready yet'.,"Mould with the first layer; 'not ready yet'. assemble phase, ~33% in, 2:48–2:56.",,0,,,,,,,1,,
BbGnbTIz7_s,https://www.youtube.com/watch?v=BbGnbTIz7_s,Ombre 5 layers gradient candle tutorial | Step by step | Advanced candle making | POV (no talking),505.0,storyboard,22,176.35,184.37,8.02,https://youtu.be/BbGnbTIz7_s?t=176s,cure_cool,assemble,1,0.45,Cube mould with a layer; 'not ready yet'.,"Cube mould with a layer; 'not ready yet'. assemble phase, ~35% in, 2:56–3:04.",,0,,,,,,,1,,
BbGnbTIz7_s,https://www.youtube.com/watch?v=BbGnbTIz7_s,Ombre 5 layers gradient candle tutorial | Step by step | Advanced candle making | POV (no talking),505.0,storyboard,23,184.37,192.38,8.01,https://youtu.be/BbGnbTIz7_s?t=184s,cure_cool,assemble,1,0.45,Checking/pouring the layer.,"Checking/pouring the layer. assemble phase, ~37% in, 3:04–3:12.",,0,,,,,,,1,,
BbGnbTIz7_s,https://www.youtube.com/watch?v=BbGnbTIz7_s,Ombre 5 layers gradient candle tutorial | Step by step | Advanced candle making | POV (no talking),505.0,storyboard,24,192.38,200.4,8.02,https://youtu.be/BbGnbTIz7_s?t=192s,cure_cool,assemble,1,0.45,Mould layer; 'almost'.,"Mould layer; 'almost'. Letting the candle cool and solidify - often a time-lapse or a caption saying to wait/cure. assemble phase, ~38% in, 3:12–3:20. Terminology: curing.",,0,,,,,,,1,,
BbGnbTIz7_s,https://www.youtube.com/watch?v=BbGnbTIz7_s,Ombre 5 layers gradient candle tutorial | Step by step | Advanced candle making | POV (no talking),505.0,storyboard,38,304.6,312.62,8.02,https://youtu.be/BbGnbTIz7_s?t=305s,cure_cool,assemble,1,0.45,Mould with three layers.,"Mould with three layers. Letting the candle cool and solidify - often a time-lapse or a caption saying to wait/cure. assemble phase, ~60% in, 5:04–5:12. Terminology: curing.",,0,,,,,,,1,,
BbGnbTIz7_s,https://www.youtube.com/watch?v=BbGnbTIz7_s,Ombre 5 layers gradient candle tutorial | Step by step | Advanced candle making | POV (no talking),505.0,storyboard,39,312.62,320.63,8.01,https://youtu.be/BbGnbTIz7_s?t=313s,cure_cool,assemble,1,0.45,Mould; caption about texture.,"Mould; caption about texture. assemble phase, ~62% in, 5:12–5:20.",,0,,,,,,,1,,
BbGnbTIz7_s,https://www.youtube.com/watch?v=BbGnbTIz7_s,Ombre 5 layers gradient candle tutorial | Step by step | Advanced candle making | POV (no talking),505.0,storyboard,40,320.63,328.65,8.02,https://youtu.be/BbGnbTIz7_s?t=321s,cure_cool,assemble,1,0.45,Mould layers; 'take your time'.,"Mould layers; 'take your time'. assemble phase, ~63% in, 5:20–5:28.",,0,,,,,,,1,,
BbGnbTIz7_s,https://www.youtube.com/watch?v=BbGnbTIz7_s,Ombre 5 layers gradient candle tutorial | Step by step | Advanced candle making | POV (no talking),505.0,storyboard,41,328.65,336.67,8.02,https://youtu.be/BbGnbTIz7_s?t=329s,cure_cool,assemble,1,0.45,Mould; 'repetitive process'.,"Mould; 'repetitive process'. assemble phase, ~65% in, 5:28–5:36.",,0,,,,,,,1,,
BbGnbTIz7_s,https://www.youtube.com/watch?v=BbGnbTIz7_s,Ombre 5 layers gradient candle tutorial | Step by step | Advanced candle making | POV (no talking),505.0,storyboard,42,336.67,344.68,8.01,https://youtu.be/BbGnbTIz7_s?t=337s,cure_cool,assemble,1,0.5,Thermometer in the wax; mould.,"Thermometer in the wax; mould. assemble phase, ~67% in, 5:36–5:44.",,0,,,,,,,1,,
BbGnbTIz7_s,https://www.youtube.com/watch?v=BbGnbTIz7_s,Ombre 5 layers gradient candle tutorial | Step by step | Advanced candle making | POV (no talking),505.0,storyboard,43,344.68,352.7,8.02,https://youtu.be/BbGnbTIz7_s?t=345s,cure_cool,assemble,1,0.45,Mould; caption.,"Mould; caption. Letting the candle cool and solidify - often a time-lapse or a caption saying to wait/cure. assemble phase, ~68% in, 5:44–5:52. Terminology: curing.",,0,,,,,,,1,,
BbGnbTIz7_s,https://www.youtube.com/watch?v=BbGnbTIz7_s,Ombre 5 layers gradient candle tutorial | Step by step | Advanced candle making | POV (no talking),505.0,storyboard,47,376.75,384.76,8.01,https://youtu.be/BbGnbTIz7_s?t=377s,cure_cool,assemble,1,0.45,Mould; caption.,"Mould; caption. Letting the candle cool and solidify - often a time-lapse or a caption saying to wait/cure. assemble phase, ~75% in, 6:16–6:24. Terminology: curing.",,0,,,,,,,1,,
