video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,keep,filter_reason,validation_flags
-qEby8J59DA,https://www.youtube.com/watch?v=-qEby8J59DA,6 Mistakes Candle Makers Should Avoid & How To Fix Them [Updated],758.0,storyboard,7,55.85,63.83,7.98,https://youtu.be/-qEby8J59DA?t=56s,gather_materials,prep,1,0.4,Hands hold a black candle tin (close-up insert).,"Hands hold a black candle tin (close-up insert). prep phase, ~7% in, 0:55–1:03.",,0,1,,
0ERh-nj5jjw,https://www.youtube.com/watch?v=0ERh-nj5jjw,how to measure candle wax for the perfect candle pour ⚖️,117.0,storyboard,2,15.6,23.4,7.8,https://youtu.be/0ERh-nj5jjw?t=16s,gather_materials,prep,1,0.45,Overhead black candle tins/jars.,"Overhead black candle tins/jars. prep phase, ~13% in, 0:15–0:23.",,0,1,,
0ERh-nj5jjw,https://www.youtube.com/watch?v=0ERh-nj5jjw,how to measure candle wax for the perfect candle pour ⚖️,117.0,storyboard,7,54.6,62.4,7.8,https://youtu.be/0ERh-nj5jjw?t=55s,gather_materials,prep,1,0.45,Overhead tray of black candle tins.,"Overhead tray of black candle tins. prep phase, ~47% in, 0:54–1:02.",,0,1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,0,0.0,8.02,8.02,https://youtu.be/0gk3NsmJa7k?t=0s,gather_materials,prep,1,0.4,Pine sprigs and berries for winter candles.,"Pine sprigs and berries for winter candles. prep phase, ~0% in, 0:00–0:08.",,0,1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,3,23.81,31.75,7.94,https://youtu.be/1V3hfxo7OtE?t=24s,gather_materials,prep,0,0.65,'Materials' title card + overhead supplies,"'Materials' title card + overhead supplies. prep phase, ~5% in, 0:23–0:31.",,0,1,desc_text_card,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,4,31.75,39.69,7.94,https://youtu.be/1V3hfxo7OtE?t=32s,gather_materials,prep,1,0.6,overhead supplies laid out,"overhead supplies laid out. prep phase, ~6% in, 0:31–0:39.",,0,1,,
2KbmlOnPJnU,https://www.youtube.com/watch?v=2KbmlOnPJnU,How To Make an INFINITE CANDLE Wick – Burns Forever!,151.0,storyboard,1,7.95,15.89,7.94,https://youtu.be/2KbmlOnPJnU?t=8s,gather_materials,prep,1,0.5,Black-gloved hands lay out the small components for the floating oil wick.,"Black-gloved hands lay out the small components for the floating oil wick. prep phase, ~5% in, 0:07–0:15.",,0,1,,
2rhZ7lzaU4Y,https://www.youtube.com/watch?v=2rhZ7lzaU4Y,4 Easy Candle Making for Beginners | DIY Candles,187.0,storyboard,1,8.13,16.26,8.13,https://youtu.be/2rhZ7lzaU4Y?t=8s,gather_materials,prep,1,0.5,Hands hold colourful round moulds (blue/pink/green).,"Hands hold colourful round moulds (blue/pink/green). prep phase, ~4% in, 0:08–0:16.",,0,1,,
2rhZ7lzaU4Y,https://www.youtube.com/watch?v=2rhZ7lzaU4Y,4 Easy Candle Making for Beginners | DIY Candles,187.0,storyboard,2,16.26,24.39,8.13,https://youtu.be/2rhZ7lzaU4Y?t=16s,gather_materials,prep,1,0.5,A wick is placed into a glass jar; YouTube branding.,"A wick is placed into a glass jar; YouTube branding. prep phase, ~9% in, 0:16–0:24.",,0,1,,
2rhZ7lzaU4Y,https://www.youtube.com/watch?v=2rhZ7lzaU4Y,4 Easy Candle Making for Beginners | DIY Candles,187.0,storyboard,3,24.39,32.52,8.13,https://youtu.be/2rhZ7lzaU4Y?t=24s,gather_materials,prep,1,0.45,Hands with coloured wax spheres.,"Hands with coloured wax spheres. prep phase, ~13% in, 0:24–0:32.",,0,1,,
