video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,40,320.67,328.68,8.01,https://youtu.be/-pjWKo7zgrs?t=321s,measure_wax,prep,1,0.5,Weighing wax on the scale.,"Weighing wax on the scale. prep phase, ~67% in, 5:20–5:28.",,0,,,,,,,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,41,328.68,336.7,8.02,https://youtu.be/-pjWKo7zgrs?t=329s,measure_wax,prep,1,0.5,Weighing wax on the scale.,"Weighing wax on the scale. prep phase, ~68% in, 5:28–5:36.",,0,,,,,,,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,44,352.73,360.75,8.02,https://youtu.be/-pjWKo7zgrs?t=353s,measure_wax,prep,1,0.5,Weighing wax on the scale.,"Weighing wax on the scale. prep phase, ~73% in, 5:52–6:00.",,0,,,,,,,1,,
0ERh-nj5jjw,https://www.youtube.com/watch?v=0ERh-nj5jjw,how to measure candle wax for the perfect candle pour ⚖️,117.0,storyboard,8,62.4,70.2,7.8,https://youtu.be/0ERh-nj5jjw?t=62s,measure_wax,prep,1,0.5,Wax flakes portioned into the black tins.,"Wax flakes portioned into the black tins. prep phase, ~53% in, 1:02–1:10.",,0,,,,,,,1,,
0ERh-nj5jjw,https://www.youtube.com/watch?v=0ERh-nj5jjw,how to measure candle wax for the perfect candle pour ⚖️,117.0,storyboard,9,70.2,78.0,7.8,https://youtu.be/0ERh-nj5jjw?t=70s,measure_wax,prep,1,0.45,Measuring wax; a white wax slab.,"Measuring wax; a white wax slab. prep phase, ~60% in, 1:10–1:18.",,0,,,,,,,1,,
0ERh-nj5jjw,https://www.youtube.com/watch?v=0ERh-nj5jjw,how to measure candle wax for the perfect candle pour ⚖️,117.0,storyboard,10,78.0,85.8,7.8,https://youtu.be/0ERh-nj5jjw?t=78s,measure_wax,prep,1,0.5,Cutting/weighing a white wax slab on a scale.,"Cutting/weighing a white wax slab on a scale. prep phase, ~67% in, 1:18–1:25.",,0,,,,,,,1,,
0ERh-nj5jjw,https://www.youtube.com/watch?v=0ERh-nj5jjw,how to measure candle wax for the perfect candle pour ⚖️,117.0,storyboard,14,109.2,117.0,7.8,https://youtu.be/0ERh-nj5jjw?t=109s,measure_wax,prep,1,0.45,Black tin with measured wax/powder.,"Black tin with measured wax/powder. prep phase, ~93% in, 1:49–1:57.",,0,,,,,,,1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,5,39.69,47.62,7.93,https://youtu.be/1V3hfxo7OtE?t=40s,measure_wax,prep,1,0.5,overhead hands with jars/wax,"overhead hands with jars/wax. prep phase, ~8% in, 0:39–0:47.",,0,,,,,,,1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,6,47.62,55.56,7.94,https://youtu.be/1V3hfxo7OtE?t=48s,measure_wax,prep,1,0.5,overhead measuring,"overhead measuring. Weighing or measuring wax flakes into a pouring pot or pitcher. prep phase, ~9% in, 0:47–0:55.",,0,,,,,,,1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,7,55.56,63.5,7.94,https://youtu.be/1V3hfxo7OtE?t=56s,measure_wax,prep,1,0.5,overhead bench work,"overhead bench work. Weighing or measuring wax flakes into a pouring pot or pitcher. prep phase, ~11% in, 0:55–1:03.",,0,,,,,,,1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,8,63.5,71.44,7.94,https://youtu.be/1V3hfxo7OtE?t=64s,measure_wax,prep,1,0.5,overhead bench work,"overhead bench work. Weighing or measuring wax flakes into a pouring pot or pitcher. prep phase, ~12% in, 1:03–1:11.",,0,,,,,,,1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,9,71.44,79.38,7.94,https://youtu.be/1V3hfxo7OtE?t=71s,measure_wax,prep,1,0.5,overhead bench work,"overhead bench work. Weighing or measuring wax flakes into a pouring pot or pitcher. prep phase, ~14% in, 1:11–1:19.",,0,,,,,,,1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,10,79.38,87.31,7.93,https://youtu.be/1V3hfxo7OtE?t=79s,measure_wax,prep,1,0.5,overhead bench work,"overhead bench work. Weighing or measuring wax flakes into a pouring pot or pitcher. prep phase, ~16% in, 1:19–1:27.",,0,,,,,,,1,,
