video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,5,40.08,48.1,8.02,https://youtu.be/-pjWKo7zgrs?t=40s,prepare_container,prep,1,0.45,"Making a jesmonite candle jar (mixing, pouring moulds, demoulding).","Making a jesmonite candle jar (mixing, pouring moulds, demoulding). prep phase, ~8% in, 0:40–0:48.",,0,,,,,,,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,6,48.1,56.12,8.02,https://youtu.be/-pjWKo7zgrs?t=48s,prepare_container,prep,1,0.45,"Making a jesmonite candle jar (mixing, pouring moulds, demoulding).","Making a jesmonite candle jar (mixing, pouring moulds, demoulding). prep phase, ~10% in, 0:48–0:56.",,0,,,,,,,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,7,56.12,64.13,8.01,https://youtu.be/-pjWKo7zgrs?t=56s,prepare_container,prep,1,0.45,"Making a jesmonite candle jar (mixing, pouring moulds, demoulding).","Making a jesmonite candle jar (mixing, pouring moulds, demoulding). prep phase, ~12% in, 0:56–1:04.",,0,,,,,,,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,8,64.13,72.15,8.02,https://youtu.be/-pjWKo7zgrs?t=64s,prepare_container,prep,1,0.45,"Making a jesmonite candle jar (mixing, pouring moulds, demoulding).","Making a jesmonite candle jar (mixing, pouring moulds, demoulding). prep phase, ~13% in, 1:04–1:12.",,0,,,,,,,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,9,72.15,80.17,8.02,https://youtu.be/-pjWKo7zgrs?t=72s,prepare_container,prep,1,0.45,"Making a jesmonite candle jar (mixing, pouring moulds, demoulding).","Making a jesmonite candle jar (mixing, pouring moulds, demoulding). prep phase, ~15% in, 1:12–1:20.",,0,,,,,,,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,10,80.17,88.18,8.01,https://youtu.be/-pjWKo7zgrs?t=80s,prepare_container,prep,1,0.45,"Making a jesmonite candle jar (mixing, pouring moulds, demoulding).","Making a jesmonite candle jar (mixing, pouring moulds, demoulding). prep phase, ~17% in, 1:20–1:28.",,0,,,,,,,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,11,88.18,96.2,8.02,https://youtu.be/-pjWKo7zgrs?t=88s,prepare_container,prep,1,0.45,"Making a jesmonite candle jar (mixing, pouring moulds, demoulding).","Making a jesmonite candle jar (mixing, pouring moulds, demoulding). prep phase, ~18% in, 1:28–1:36.",,0,,,,,,,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,12,96.2,104.22,8.02,https://youtu.be/-pjWKo7zgrs?t=96s,prepare_container,prep,1,0.45,"Making a jesmonite candle jar (mixing, pouring moulds, demoulding).","Making a jesmonite candle jar (mixing, pouring moulds, demoulding). prep phase, ~20% in, 1:36–1:44.",,0,,,,,,,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,13,104.22,112.23,8.01,https://youtu.be/-pjWKo7zgrs?t=104s,prepare_container,prep,1,0.45,"Making a jesmonite candle jar (mixing, pouring moulds, demoulding).","Making a jesmonite candle jar (mixing, pouring moulds, demoulding). prep phase, ~22% in, 1:44–1:52.",,0,,,,,,,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,14,112.23,120.25,8.02,https://youtu.be/-pjWKo7zgrs?t=112s,prepare_container,prep,1,0.45,"Making a jesmonite candle jar (mixing, pouring moulds, demoulding).","Making a jesmonite candle jar (mixing, pouring moulds, demoulding). prep phase, ~23% in, 1:52–2:00.",,0,,,,,,,1,,
