video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
-dVj7BYicmQ,https://www.youtube.com/watch?v=-dVj7BYicmQ,Create your own custom-scented candle at The Candle Pour | Taste and See Tampa Bay,99.0,storyboard,0,0.0,8.25,8.25,https://youtu.be/-dVj7BYicmQ?t=0s,reveal_result,finish,1,0.4,Lit candle; caption 'Make custom-scented candle at The Candle Pour in Hyde Park'.,"Lit candle; caption 'Make custom-scented candle at The Candle Pour in Hyde Park'. finish phase, ~0% in, 0:00–0:08.",,0,,,,,,,1,,
-dVj7BYicmQ,https://www.youtube.com/watch?v=-dVj7BYicmQ,Create your own custom-scented candle at The Candle Pour | Taste and See Tampa Bay,99.0,storyboard,10,82.5,90.75,8.25,https://youtu.be/-dVj7BYicmQ?t=82s,reveal_result,finish,1,0.45,Caption 'Candles last about 60 burn hours'; lit candle.,"Caption 'Candles last about 60 burn hours'; lit candle. finish phase, ~83% in, 1:22–1:30.",,0,,,,,,,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,57,456.95,464.97,8.02,https://youtu.be/-pjWKo7zgrs?t=457s,reveal_result,finish,1,0.5,Finished sage & rose jesmonite candles shown.,"Finished sage & rose jesmonite candles shown. finish phase, ~95% in, 7:36–7:44.",,0,,,,,,,1,,
-qEby8J59DA,https://www.youtube.com/watch?v=-qEby8J59DA,6 Mistakes Candle Makers Should Avoid & How To Fix Them [Updated],758.0,storyboard,71,566.51,574.48,7.97,https://youtu.be/-qEby8J59DA?t=567s,reveal_result,finish,1,0.5,Lit finished candles shown.,"Lit finished candles shown. finish phase, ~75% in, 9:26–9:34.",,0,,,,,,,1,,
-qEby8J59DA,https://www.youtube.com/watch?v=-qEby8J59DA,6 Mistakes Candle Makers Should Avoid & How To Fix Them [Updated],758.0,storyboard,72,574.48,582.46,7.98,https://youtu.be/-qEby8J59DA?t=574s,reveal_result,finish,1,0.5,Lit finished candles shown.,"Lit finished candles shown. finish phase, ~76% in, 9:34–9:42.",,0,,,,,,,1,,
-qEby8J59DA,https://www.youtube.com/watch?v=-qEby8J59DA,6 Mistakes Candle Makers Should Avoid & How To Fix Them [Updated],758.0,storyboard,73,582.46,590.44,7.98,https://youtu.be/-qEby8J59DA?t=582s,reveal_result,finish,1,0.5,Lit finished candles shown.,"Lit finished candles shown. finish phase, ~77% in, 9:42–9:50.",,0,,,,,,,1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,72,577.45,585.47,8.02,https://youtu.be/0gk3NsmJa7k?t=577s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,"Rows of finished botanical winter candles / labelled beauty shots. finish phase, ~73% in, 9:37–9:45.",,0,,,,,,,1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,73,585.47,593.49,8.02,https://youtu.be/0gk3NsmJa7k?t=585s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,"Rows of finished botanical winter candles / labelled beauty shots. finish phase, ~74% in, 9:45–9:53.",,0,,,,,,,1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,74,593.49,601.52,8.03,https://youtu.be/0gk3NsmJa7k?t=593s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,"Rows of finished botanical winter candles / labelled beauty shots. finish phase, ~75% in, 9:53–10:01.",,0,,,,,,,1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,75,601.52,609.54,8.02,https://youtu.be/0gk3NsmJa7k?t=602s,reveal_result,finish,1,0.5,Rows of finished botanical winter candles / labelled beauty shots.,"Rows of finished botanical winter candles / labelled beauty shots. finish phase, ~76% in, 10:01–10:09.",,0,,,,,,,1,,
