video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,keep,filter_reason,validation_flags
-dVj7BYicmQ,https://www.youtube.com/watch?v=-dVj7BYicmQ,Create your own custom-scented candle at The Candle Pour | Taste and See Tampa Bay,99.0,storyboard,1,8.25,16.5,8.25,https://youtu.be/-dVj7BYicmQ?t=8s,transition,aux,0,0.4,'it's lit' card over the candle store.,"'it's lit' card over the candle store. aux phase, ~8% in, 0:08–0:16.",,0,1,,
-dVj7BYicmQ,https://www.youtube.com/watch?v=-dVj7BYicmQ,Create your own custom-scented candle at The Candle Pour | Taste and See Tampa Bay,99.0,storyboard,2,16.5,24.75,8.25,https://youtu.be/-dVj7BYicmQ?t=16s,transition,aux,0,0.4,Caption 'Choose from more than 120 scents'; rows of candle jars.,"Caption 'Choose from more than 120 scents'; rows of candle jars. aux phase, ~17% in, 0:16–0:24.",,0,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,39,312.65,320.67,8.02,https://youtu.be/-pjWKo7zgrs?t=313s,transition,aux,0,0.6,'Candle making' card.,"'Candle making' card. A cut, b-roll, or text-only card that carries no procedure action. aux phase, ~65% in, 5:12–5:20.",,0,1,,
-qEby8J59DA,https://www.youtube.com/watch?v=-qEby8J59DA,6 Mistakes Candle Makers Should Avoid & How To Fix Them [Updated],758.0,storyboard,8,63.83,71.81,7.98,https://youtu.be/-qEby8J59DA?t=64s,transition,aux,0,0.4,Handwritten fragrance-ratio diagram (~1 oz fragrance oil per 1 lb / 1 tin of wax).,"Handwritten fragrance-ratio diagram (~1 oz fragrance oil per 1 lb / 1 tin of wax). aux phase, ~8% in, 1:03–1:11.",,0,1,,
0ERh-nj5jjw,https://www.youtube.com/watch?v=0ERh-nj5jjw,how to measure candle wax for the perfect candle pour ⚖️,117.0,storyboard,3,23.4,31.2,7.8,https://youtu.be/0ERh-nj5jjw?t=23s,transition,aux,0,0.4,Jar spec product-page screenshot.,"Jar spec product-page screenshot. aux phase, ~20% in, 0:23–0:31.",,0,1,,
0ERh-nj5jjw,https://www.youtube.com/watch?v=0ERh-nj5jjw,how to measure candle wax for the perfect candle pour ⚖️,117.0,storyboard,4,31.2,39.0,7.8,https://youtu.be/0ERh-nj5jjw?t=31s,transition,aux,0,0.4,Product spec screenshot.,"Product spec screenshot. A cut, b-roll, or text-only card that carries no procedure action. aux phase, ~27% in, 0:31–0:39.",,0,1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,87,697.76,705.78,8.02,https://youtu.be/0gk3NsmJa7k?t=698s,transition,aux,0,0.6,Snowy winter-forest b-roll.,"Snowy winter-forest b-roll. aux phase, ~88% in, 11:37–11:45.",,0,1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,88,705.78,713.8,8.02,https://youtu.be/0gk3NsmJa7k?t=706s,transition,aux,0,0.6,Snowy winter-forest b-roll.,"Snowy winter-forest b-roll. aux phase, ~89% in, 11:45–11:53.",,0,1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,89,713.8,721.82,8.02,https://youtu.be/0gk3NsmJa7k?t=714s,transition,aux,0,0.6,Snowy winter-forest b-roll.,"Snowy winter-forest b-roll. aux phase, ~90% in, 11:53–12:01.",,0,1,,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,32,255.16,263.13,7.97,https://youtu.be/0pqimQlf8tQ?t=255s,transition,aux,0,0.5,Blank / near-black frame (auto-detected).,"Blank / near-black frame (auto-detected). A cut, b-roll, or text-only card that carries no procedure action. aux phase, ~84% in, 4:15–4:23.",,0,1,,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,33,263.13,271.11,7.98,https://youtu.be/0pqimQlf8tQ?t=263s,transition,aux,0,0.5,Blank / near-black frame (auto-detected).,"Blank / near-black frame (auto-detected). A cut, b-roll, or text-only card that carries no procedure action. aux phase, ~87% in, 4:23–4:31.",,0,1,,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,34,271.11,279.08,7.97,https://youtu.be/0pqimQlf8tQ?t=271s,transition,aux,0,0.5,Blank / near-black frame (auto-detected).,"Blank / near-black frame (auto-detected). A cut, b-roll, or text-only card that carries no procedure action. aux phase, ~89% in, 4:31–4:39.",,0,1,,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,35,279.08,287.05,7.97,https://youtu.be/0pqimQlf8tQ?t=279s,transition,aux,0,0.5,Blank / near-black frame (auto-detected).,"Blank / near-black frame (auto-detected). A cut, b-roll, or text-only card that carries no procedure action. aux phase, ~92% in, 4:39–4:47.",,0,1,,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,36,287.05,295.03,7.98,https://youtu.be/0pqimQlf8tQ?t=287s,transition,aux,0,0.5,Blank / near-black frame (auto-detected).,"Blank / near-black frame (auto-detected). A cut, b-roll, or text-only card that carries no procedure action. aux phase, ~95% in, 4:47–4:55.",,0,1,,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,37,295.03,303.0,7.97,https://youtu.be/0pqimQlf8tQ?t=295s,transition,aux,0,0.5,Blank / near-black frame (auto-detected).,"Blank / near-black frame (auto-detected). A cut, b-roll, or text-only card that carries no procedure action. aux phase, ~97% in, 4:55–5:03.",,0,1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,63,502.22,510.19,7.97,https://youtu.be/0tS8V3Gj9C0?t=502s,transition,aux,0,0.6,City / outdoor market / thrift b-roll.,"City / outdoor market / thrift b-roll. aux phase, ~59% in, 8:22–8:30.",,0,1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,64,510.19,518.16,7.97,https://youtu.be/0tS8V3Gj9C0?t=510s,transition,aux,0,0.6,City / outdoor market / thrift b-roll.,"City / outdoor market / thrift b-roll. aux phase, ~60% in, 8:30–8:38.",,0,1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,65,518.16,526.13,7.97,https://youtu.be/0tS8V3Gj9C0?t=518s,transition,aux,0,0.6,City / outdoor market / thrift b-roll.,"City / outdoor market / thrift b-roll. aux phase, ~61% in, 8:38–8:46.",,0,1,,
