video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,keep,filter_reason,validation_flags
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,52,412.75,420.69,7.94,https://youtu.be/1V3hfxo7OtE?t=413s,trim_wick,finish,0,0.6,'Cut the Wick' title card,"'Cut the Wick' title card. finish phase, ~81% in, 6:52–7:00.",,0,1,desc_text_card,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,53,420.69,428.62,7.93,https://youtu.be/1V3hfxo7OtE?t=421s,trim_wick,finish,1,0.55,two hosts trimming wicks on candles,"two hosts trimming wicks on candles. finish phase, ~83% in, 7:00–7:08.",,0,1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,54,428.62,436.56,7.94,https://youtu.be/1V3hfxo7OtE?t=429s,trim_wick,finish,1,0.55,two hosts trimming wicks,"two hosts trimming wicks. finish phase, ~84% in, 7:08–7:16.",,0,1,,
E27yUdPTNEU,https://www.youtube.com/watch?v=E27yUdPTNEU,How To Make Perfect Dipped Beeswax Taper Candles (In An Old Tin Can),245.0,storyboard,21,165.97,173.87,7.9,https://youtu.be/E27yUdPTNEU?t=166s,trim_wick,finish,1,0.4,Wick ends trimmed/cut on the dipped tapers.,"Wick ends trimmed/cut on the dipped tapers. finish phase, ~68% in, 2:45–2:53.",,0,1,,
EBZGgxpf3Ho,https://www.youtube.com/watch?v=EBZGgxpf3Ho,How to make perfect scented soy wax tin candles every time. DIY tutorial 7oz coco soy wax candles,667.0,storyboard,65,522.35,530.39,8.04,https://youtu.be/EBZGgxpf3Ho?t=522s,trim_wick,finish,1,0.5,Trimming the wicks.,"Trimming the wicks. Trimming the wick to the correct length on the set candle. finish phase, ~78% in, 8:42–8:50.",,0,1,,
EBZGgxpf3Ho,https://www.youtube.com/watch?v=EBZGgxpf3Ho,How to make perfect scented soy wax tin candles every time. DIY tutorial 7oz coco soy wax candles,667.0,storyboard,66,530.39,538.42,8.03,https://youtu.be/EBZGgxpf3Ho?t=530s,trim_wick,finish,1,0.5,Trimming the wicks.,"Trimming the wicks. Trimming the wick to the correct length on the set candle. finish phase, ~80% in, 8:50–8:58.",,0,1,,
EBZGgxpf3Ho,https://www.youtube.com/watch?v=EBZGgxpf3Ho,How to make perfect scented soy wax tin candles every time. DIY tutorial 7oz coco soy wax candles,667.0,storyboard,67,538.42,546.46,8.04,https://youtu.be/EBZGgxpf3Ho?t=538s,trim_wick,finish,1,0.5,Trimming the wicks.,"Trimming the wicks. Trimming the wick to the correct length on the set candle. finish phase, ~81% in, 8:58–9:06.",,0,1,,
GAh9lQmaEvI,https://www.youtube.com/watch?v=GAh9lQmaEvI,How to make scented candles at home step by step,135.0,storyboard,15,119.12,127.06,7.94,https://youtu.be/GAh9lQmaEvI?t=119s,trim_wick,finish,1,0.5,'Trim the wick' + finished candles,"'Trim the wick' + finished candles. finish phase, ~88% in, 1:59–2:07. Terminology: wick trimming.",,0,1,,
Ktz5Q9udtXY,https://www.youtube.com/watch?v=Ktz5Q9udtXY,How to Make Essential Oil Candles | DIY Candle Making Tutorial,316.0,storyboard,30,237.0,244.9,7.9,https://youtu.be/Ktz5Q9udtXY?t=237s,trim_wick,finish,1,0.5,The wooden wick is trimmed with scissors on a set candle.,"The wooden wick is trimmed with scissors on a set candle. finish phase, ~75% in, 3:57–4:04. Terminology: wood wick.",,0,1,,
LiLrIjz_2ac,https://www.youtube.com/watch?v=LiLrIjz_2ac,Beginners Guide - How to Make a Scented Candle at Home,211.0,storyboard,20,162.31,170.42,8.11,https://youtu.be/LiLrIjz_2ac?t=162s,trim_wick,finish,1,0.5,The wick is trimmed on the set candle; greenery in frame.,"The wick is trimmed on the set candle; greenery in frame. finish phase, ~77% in, 2:42–2:50.",,0,1,,
RwLOuuMSrWE,https://www.youtube.com/watch?v=RwLOuuMSrWE,CANDLE MAKING FOR BEGINNERS | How To Make Woodwick Candles,423.0,storyboard,41,327.23,335.21,7.98,https://youtu.be/RwLOuuMSrWE?t=327s,trim_wick,finish,1,0.5,The wooden wick is trimmed with scissors.,"The wooden wick is trimmed with scissors. finish phase, ~77% in, 5:27–5:35. Terminology: wood wick.",,0,1,,
ToGNCotyDeE,https://www.youtube.com/watch?v=ToGNCotyDeE,How to Make Candles With ToAuto New 15L Wax Melting Furnace - Start Your Candle Business Easily,246.0,storyboard,4,31.74,39.68,7.94,https://youtu.be/ToGNCotyDeE?t=32s,trim_wick,finish,1,0.4,Trimming wicks on the set candles.,"Trimming wicks on the set candles. finish phase, ~13% in, 0:31–0:39.",,0,1,,
ToGNCotyDeE,https://www.youtube.com/watch?v=ToGNCotyDeE,How to Make Candles With ToAuto New 15L Wax Melting Furnace - Start Your Candle Business Easily,246.0,storyboard,9,71.42,79.35,7.93,https://youtu.be/ToGNCotyDeE?t=71s,trim_wick,finish,1,0.4,Trimming wicks on the set candles.,"Trimming wicks on the set candles. finish phase, ~29% in, 1:11–1:19.",,0,1,,
ToGNCotyDeE,https://www.youtube.com/watch?v=ToGNCotyDeE,How to Make Candles With ToAuto New 15L Wax Melting Furnace - Start Your Candle Business Easily,246.0,storyboard,14,111.1,119.03,7.93,https://youtu.be/ToGNCotyDeE?t=111s,trim_wick,finish,1,0.4,Trimming wicks on the set candles.,"Trimming wicks on the set candles. finish phase, ~45% in, 1:51–1:59.",,0,1,,
ToGNCotyDeE,https://www.youtube.com/watch?v=ToGNCotyDeE,How to Make Candles With ToAuto New 15L Wax Melting Furnace - Start Your Candle Business Easily,246.0,storyboard,19,150.77,158.71,7.94,https://youtu.be/ToGNCotyDeE?t=151s,trim_wick,finish,1,0.4,Trimming wicks on the set candles.,"Trimming wicks on the set candles. finish phase, ~61% in, 2:30–2:38.",,0,1,,
ToGNCotyDeE,https://www.youtube.com/watch?v=ToGNCotyDeE,How to Make Candles With ToAuto New 15L Wax Melting Furnace - Start Your Candle Business Easily,246.0,storyboard,24,190.45,198.39,7.94,https://youtu.be/ToGNCotyDeE?t=190s,trim_wick,finish,1,0.4,Trimming wicks on the set candles.,"Trimming wicks on the set candles. finish phase, ~77% in, 3:10–3:18.",,0,1,,
V50SgBW1bRM,https://www.youtube.com/watch?v=V50SgBW1bRM,🔥 Watch Me Make Luxury Pillar Candles! | Get My Exact Recipe in the Ultimate Candle-Making eBook! 🔥,546.0,storyboard,12,96.35,104.38,8.03,https://youtu.be/V50SgBW1bRM?t=96s,trim_wick,finish,1,0.4,Trimming the wicks on the pillars.,"Trimming the wicks on the pillars. finish phase, ~18% in, 1:36–1:44.",,0,1,,
V50SgBW1bRM,https://www.youtube.com/watch?v=V50SgBW1bRM,🔥 Watch Me Make Luxury Pillar Candles! | Get My Exact Recipe in the Ultimate Candle-Making eBook! 🔥,546.0,storyboard,18,144.53,152.56,8.03,https://youtu.be/V50SgBW1bRM?t=145s,trim_wick,finish,1,0.4,Trimming the wicks on the pillars.,"Trimming the wicks on the pillars. finish phase, ~26% in, 2:24–2:32.",,0,1,,
